N	2gram	Bakhtin_sl_2	EvropaiE
1	и в	39	37
2	в отношении	4	32
3	в пределах	13	25
4	точки зрения	8	23
5	что в	3	21
6	не только	24	18
7	с точки	3	17
8	в то	4	16
9	хотя бы	3	15
10	то же	4	15
11	отношении к	4	15
12	в своем	6	14
13	же время	4	14
14	но и	21	14
15	и не	22	14
16	но в	6	14
17	в этом	16	12
18	в их	2	11
19	в том	5	11
20	в области	2	11
21	так и	15	10
22	прежде всего	8	9
23	в смысле	4	9
24	не может	20	9
25	в себе	2	9
26	только в	5	9
27	одной стороны	5	8
28	с одной	5	8
29	между тем	3	8
30	как и	6	7
31	а также	3	7
32	с другой	5	7
33	также и	2	7
34	так как	4	7
35	вовсе не	10	6
36	том что	5	6
37	стороны и	3	6
38	может быть	37	6
39	для того	2	6
40	как бы	7	6
41	то что	2	6
42	во всех	12	6
43	того чтобы	2	6
44	и даже	7	6
45	и на	4	6
46	то есть	26	6
47	не в	9	5
48	но не	6	5
49	как мы	7	5
50	в той	4	5
51	в виде	2	5
52	и потому	7	5
53	независимо от	2	4
54	именно в	2	4
55	или иной	5	4
56	чем в	2	4
57	в ней	3	4
58	к ней	2	4
59	той или	5	4
60	даже в	2	4
61	в процессе	13	4
62	по себе	5	4
63	для нас	5	4
64	мы не	2	4
65	сказать что	3	4
66	как это	3	4
67	и к	6	3
68	в сфере	2	3
69	этом отношении	3	3
70	никогда не	7	3
71	жизни в	2	3
72	в них	6	3
73	обстоит дело	2	3
74	и от	3	3
75	новое слово	2	3
76	мы видели	2	3
77	в свою	3	3
78	в прошлом	2	3
79	связано с	3	3
80	известной степени	2	3
81	всяком случае	2	3
82	что и	3	3
83	бы и	3	3
84	как в	13	3
85	и для	5	3
86	в таком	4	3
87	в результате	2	3
88	во всяком	3	3
89	в данном	2	3
90	о том	2	3
91	дело в	2	3
92	там где	6	3
93	большинстве случаев	5	3
94	мира и	5	3
95	отметить что	3	3
96	не могут	5	2
97	и более	2	2
98	а не	14	2
99	в этих	7	2
100	еще более	2	2
101	с этим	2	2
102	в большинстве	6	2
103	и все	5	2
104	в одном	2	2
105	к нему	3	2
106	влияние на	2	2
107	и как	3	2
108	свою очередь	2	2
109	но как	2	2
110	должна быть	3	2
111	во власти	2	2
112	она не	6	2
113	дело идет	2	2
114	именно к	2	2
115	и существенно	2	2
116	он не	2	2
117	в его	7	2
118	притом в	2	2
119	точка зрения	2	2
120	жизни и	6	2
121	в некоторых	3	2
122	вместе с	2	2
123	а в	4	2
124	таким образом	8	2
125	в идеологическом	2	2
126	на них	2	2
127	и других	4	2
128	а именно	2	2
129	в значительной	6	2
130	и наконец	5	2
131	с другими	4	2
132	или в	2	2
133	меньше чем	2	2
134	и с	9	2
135	хотя и	2	2
136	могут быть	7	2
137	ведь и	2	2
138	в истории	11	2
139	далеко не	2	2
140	тогда когда	2	2
