N	2gram	Voloshinov_1	Analitik
1	не только	7	22
2	и в	16	18
3	как и	2	14
4	так и	4	14
5	в этом	9	14
6	но и	4	13
7	и его	8	13
8	в частности	2	12
9	том что	3	12
10	и не	4	12
11	при этом	6	11
12	а в	3	10
13	как бы	5	10
14	может быть	17	9
15	что в	3	9
16	в том	3	9
17	с его	7	8
18	и даже	4	8
19	в его	4	7
20	в начале	2	6
21	для него	6	6
22	еще не	5	6
23	в этой	4	6
24	он не	2	6
25	о том	2	6
26	никогда не	2	5
27	прежде всего	9	5
28	того же	2	5
29	в самом	2	5
30	что и	2	5
31	и т.п	2	5
32	не менее	2	4
33	отнюдь не	4	4
34	по крайней	3	4
35	в одном	3	4
36	в итоге	2	4
37	что он	2	4
38	можно сказать	4	4
39	и к	6	4
40	и как	3	4
41	в пределах	2	4
42	не есть	2	4
43	крайней мере	3	4
44	таким образом	9	4
45	и на	4	4
46	из этих	2	3
47	к этому	2	3
48	было бы	2	3
49	с их	3	3
50	во сне	2	3
51	с ее	4	3
52	не будет	2	3
53	все это	4	3
54	то же	2	3
55	путь к	2	3
56	что не	2	3
57	мы не	2	3
58	с этим	2	3
59	точки зрения	8	3
60	но как	2	3
61	говорить о	2	3
62	его в	4	3
63	едва ли	3	3
64	как это	3	3
65	я и	6	3
66	нашего времени	2	3
67	могут быть	3	2
68	для всех	4	2
69	все эти	5	2
70	конечном счете	2	2
71	в них	2	2
72	в жизни	2	2
73	с нею	2	2
74	в нем	4	2
75	и ее	4	2
76	на два	2	2
77	возникает в	2	2
78	мира и	3	2
79	по своему	2	2
80	в большинстве	3	2
81	со всеми	2	2
82	в общем	3	2
83	совершенно не	8	2
84	в конечном	3	2
85	и потому	3	2
86	всяком случае	3	2
87	один из	2	2
88	нам кажется	2	2
89	то что	3	2
90	во всех	3	2
91	вместе с	3	2
92	не может	8	2
93	отношения к	3	2
94	те же	3	2
95	и вот	3	2
96	сводится к	2	2
97	самом деле	6	2
98	с точки	6	2
99	и по	2	2
100	и для	2	2
101	сказать что	7	2
102	во всяком	3	2
103	мы можем	9	2
104	нуждается в	5	2
105	что мы	2	2
106	только в	4	2
107	и все	4	2
108	в свое	2	2
109	но в	4	2
