N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	49
2	то есть	8	32
3	прежде всего	7	19
4	в его	4	18
5	не только	20	17
6	и его	5	17
7	и на	3	17
8	и не	12	15
9	в этом	21	15
10	в них	2	13
11	только в	6	13
12	но и	19	13
13	как и	11	11
14	как бы	4	11
15	и т.п	9	11
16	в романе	6	9
17	для него	3	9
18	в нем	5	9
19	отношение к	2	8
20	все же	6	7
21	один из	3	7
22	жизни и	7	7
23	не может	7	7
24	таким образом	4	7
25	то же	5	7
26	как мы	3	7
27	то что	6	6
28	в литературе	2	6
29	же время	3	6
30	времени и	7	6
31	во всех	2	6
32	так и	8	6
33	и с	2	6
34	в то	4	6
35	никогда не	4	5
36	в своем	5	5
37	из этих	3	5
38	в начале	3	5
39	но не	5	5
40	при этом	26	5
41	может быть	18	5
42	в своей	5	5
43	и более	3	4
44	она была	2	4
45	с другой	5	4
46	нового времени	3	4
47	в жизни	4	4
48	и к	2	4
49	в себе	5	4
50	том что	7	4
51	одна из	4	4
52	в своих	2	4
53	в этих	3	4
54	не было	2	4
55	а в	6	4
56	лишь в	2	4
57	в области	3	4
58	тем что	2	4
59	с ним	3	4
60	но в	6	4
61	место в	2	3
62	но они	2	3
63	с одной	5	3
64	о чем	2	3
65	жизни в	4	3
66	в том	10	3
67	одной стороны	5	3
68	было бы	4	3
69	в самом	2	3
70	точка зрения	3	3
71	мы видели	2	3
72	другой стороны	2	3
73	этом отношении	4	3
74	и все	4	3
75	можно было	2	3
76	так в	4	3
77	также и	4	3
78	их в	2	3
79	далеко не	4	3
80	о том	5	3
81	для которого	3	3
82	одного из	3	2
83	что в	3	2
84	для них	3	2
85	на фоне	2	2
86	могут быть	4	2
87	в нашем	6	2
88	в качестве	8	2
89	что касается	5	2
90	вследствие этого	3	2
91	можно сказать	4	2
92	но это	3	2
93	есть в	2	2
94	образов но	2	2
95	все что	3	2
96	связано с	3	2
97	до конца	3	2
98	в пределах	2	2
99	еще не	7	2
100	по поводу	2	2
101	такого рода	16	2
102	одним из	5	2
103	хотя и	7	2
104	в ней	4	2
105	еще в	2	2
106	в мире	8	2
107	целый ряд	2	2
108	на самом	4	2
109	тому как	2	2
110	подобно тому	2	2
111	и т.д	5	2
112	здесь не	2	2
113	мы можем	2	2
