N	2gram	Nazirov_Tr_1	StatiiOP
1	и в	18	25
2	в этом	9	24
3	в том	2	20
4	что в	4	19
5	что он	6	19
6	может быть	7	19
7	тем что	2	19
8	что это	5	16
9	том что	4	15
10	в этой	4	14
11	в его	3	12
12	то что	4	12
13	не только	8	12
14	так что	2	11
15	прежде всего	4	10
16	и не	7	10
17	у него	6	9
18	но и	4	9
19	все это	4	8
20	о том	2	8
21	это не	5	7
22	не может	5	7
23	в то	5	7
24	в конце	3	6
25	не в	2	6
26	как бы	7	6
27	как в	3	6
28	и на	7	6
29	то же	5	5
30	потому что	2	5
31	ни в	2	5
32	об этом	4	5
33	говорит что	2	5
34	и это	2	5
35	в году	9	5
36	он не	2	5
37	так и	5	5
38	но в	6	5
39	с тем	2	4
40	а как	2	4
41	как и	5	4
42	но это	4	4
43	в целом	4	4
44	отношение к	2	4
45	к нему	3	4
46	и с	7	4
47	все же	5	4
48	что эти	2	4
49	ничего не	2	4
50	что все	2	3
51	уже в	3	3
52	с его	2	3
53	же время	6	3
54	и здесь	2	3
55	он был	2	3
56	для него	3	3
57	что я	4	3
58	и что	4	3
59	до конца	2	3
60	нет в	2	3
61	несмотря на	5	3
62	все эти	3	3
63	своего рода	3	3
64	писателя и	2	3
65	что этот	2	3
66	по мнению	2	3
67	уже не	2	3
68	не так	2	3
69	и его	6	3
70	в рассказе	2	3
71	в виде	2	3
72	не был	2	2
73	это был	2	2
74	никогда не	2	2
75	но они	2	2
76	и ее	2	2
77	к тому	2	2
78	но все	2	2
79	еще не	4	2
80	в это	2	2
81	в самом	2	2
82	одна из	2	2
83	один из	3	2
84	и за	2	2
85	с ее	3	2
86	не просто	2	2
87	не мог	2	2
88	для искусства	2	2
89	этот образ	4	2
90	то и	2	2
91	он и	2	2
92	в русском	2	2
93	не имеет	2	2
94	то есть	3	2
