N	2gram	Bakhtin_fo_2	Myshleni
1	в этом	22	29
2	точки зрения	10	28
3	и в	46	26
4	не только	11	24
5	то что	7	24
6	таким образом	3	23
7	с точки	8	21
8	того чтобы	8	19
9	в том	10	18
10	и не	9	18
11	для того	8	18
12	том что	4	17
13	потому что	8	16
14	для других	3	15
15	как и	8	15
16	этом случае	2	14
17	того что	3	14
18	так же	2	14
19	так как	6	14
20	как мы	6	14
21	с помощью	3	13
22	что в	5	12
23	вместе с	9	12
24	и его	12	12
25	но и	9	11
26	не может	2	11
27	словом и	2	10
28	что они	4	10
29	слова и	3	10
30	по своему	2	9
31	в сущности	2	9
32	тем что	3	9
33	в себе	4	9
34	то же	8	8
35	что он	3	8
36	ее в	3	8
37	только в	11	8
38	к тому	3	7
39	представление о	2	7
40	прежде всего	14	7
41	может быть	7	7
42	и к	2	7
43	в смысле	5	6
44	именно в	2	6
45	как на	2	6
46	как бы	10	6
47	все что	2	6
48	было бы	2	6
49	во всех	11	6
50	все эти	5	6
51	все же	6	6
52	а не	4	6
53	с этой	4	5
54	можно сказать	2	5
55	до конца	2	5
56	в виду	3	5
57	и их	4	5
58	с одной	2	5
59	и с	6	5
60	же самое	3	5
61	как это	2	5
62	с тем	2	5
63	в качестве	3	5
64	она не	2	5
65	связи между	2	5
66	тем же	2	5
67	и для	9	5
68	в данном	2	5
69	никогда не	6	4
70	с другой	2	4
71	и от	2	4
72	в конце	2	4
73	так что	4	4
74	имеет место	3	4
75	в котором	4	4
76	если в	2	4
77	целый ряд	3	4
78	и наконец	6	4
79	и во	6	4
80	в его	8	4
81	о том	4	4
82	но в	10	4
83	о чем	3	4
84	связи с	8	4
85	еще не	6	4
86	как в	4	4
87	в той	2	4
88	не в	9	4
89	и только	2	4
90	друг другу	2	3
91	все это	6	3
92	это не	2	3
93	из этих	4	3
94	но это	2	3
95	для него	3	3
96	в основе	6	3
97	между ними	2	3
98	не является	3	3
99	мы видели	2	3
100	на котором	2	3
101	этом отношении	2	3
102	в самой	2	3
103	и по	3	3
104	он не	5	3
105	мы уже	9	3
106	с ним	4	3
107	по себе	2	3
108	о его	2	3
109	в то	5	3
110	но не	5	3
111	в одной	2	3
112	до сих	2	3
113	и о	2	3
114	в основном	8	3
115	и потому	2	3
116	в этот	3	3
117	нет и	3	3
118	что и	3	3
119	сих пор	2	3
120	так и	7	3
121	мы видим	2	3
122	в этой	2	3
123	уже в	4	2
124	и весь	2	2
125	прежде чем	3	2
126	себя и	3	2
127	в этих	3	2
128	друг с	4	2
129	что все	2	2
130	что на	3	2
131	больше и	2	2
132	в большинстве	3	2
133	не мог	2	2
134	один из	2	2
135	в нем	5	2
136	друг от	2	2
137	отношение к	3	2
138	всего в	3	2
139	в их	3	2
140	за счет	3	2
141	отношения к	4	2
142	и других	2	2
143	лишь в	2	2
144	должно быть	5	2
145	а в	3	2
146	также и	4	2
147	в которых	3	2
148	но он	2	2
149	и есть	2	2
150	его в	6	2
151	большинстве случаев	3	2
152	во время	10	2
153	с этим	5	2
154	к этому	3	2
155	вовсе не	13	2
156	что было	3	2
157	значение и	4	2
158	но эта	2	2
159	а затем	3	2
160	у нас	2	2
161	то в	2	2
162	со всеми	2	2
163	от друга	2	2
164	наряду с	2	2
165	наконец в	2	2
166	том же	4	2
167	и до	2	2
168	находится в	2	2
169	в отношении	2	2
170	и он	4	2
171	почти всегда	2	2
172	во всяком	2	2
173	могут быть	2	2
174	вещи и	2	2
175	не могла	2	2
176	ту же	2	2
177	с другом	4	2
