N	3gram	Vinokur_St_2	Myshleni
1	с точки зрения	2	21
2	для того чтобы	5	18
3	в том что	16	13
4	не только не	2	9
5	с самого начала	3	7
6	так же как	3	7
7	к тому что	5	6
8	свое выражение в	2	5
9	в самом деле	2	4
10	о том что	11	4
11	на то что	2	4
12	вместе с тем	5	4
13	только потому что	2	3
14	тем не менее	2	3
15	по этому поводу	2	3
16	в этом отношении	9	3
17	до сих пор	5	3
18	том что он	5	2
19	том что в	2	2
20	не до конца	2	2
21	как раз в	2	2
22	мере в какой	2	2
23	в отличие от	2	2
24	в той мере	2	2
25	той мере в	2	2
