N	2gram	Vygotskiy__7	TeoriaLi
1	не только	24	18
2	в качестве	5	17
3	и не	18	16
4	а в	2	14
5	и в	26	13
6	состоит в	3	13
7	может быть	7	12
8	так и	3	12
9	представляет собой	19	11
10	в этом	29	11
11	в том	18	11
12	но не	3	10
13	а не	6	10
14	и его	12	10
15	в его	4	9
16	то же	8	9
17	что в	12	8
18	отношению к	5	8
19	но и	11	8
20	по отношению	6	8
21	в себе	9	7
22	том что	17	7
23	во второй	5	7
24	в отличие	2	7
25	в данном	5	7
26	точки зрения	28	7
27	по своей	10	7
28	в то	3	7
29	только в	8	7
30	как это	5	7
31	отличие от	2	7
32	еще не	4	6
33	в первой	3	6
34	лишь в	2	6
35	как бы	6	6
36	но в	4	6
37	в ее	6	5
38	как и	15	5
39	не в	4	5
40	между ними	3	5
41	в самом	9	5
42	в нем	2	5
43	данном случае	5	5
44	как в	4	5
45	он не	3	5
46	тем самым	8	5
47	с другой	4	5
48	не менее	4	4
49	конечном счете	2	4
50	в свою	2	4
51	можно сказать	5	4
52	в ходе	12	4
53	ни в	2	4
54	в конечном	2	4
55	в своей	3	4
56	то что	24	4
57	отношение к	2	4
58	в их	2	4
59	приводит к	4	4
60	не может	11	4
61	в слове	11	4
62	сказать что	8	4
63	но он	2	4
64	и ее	2	4
65	слова в	5	3
66	перед нами	2	3
67	никогда не	4	3
68	в нашем	4	3
69	в этих	2	3
70	в отношении	2	3
71	прежде всего	7	3
72	и к	7	3
73	тем не	3	3
74	свою очередь	2	3
75	по своему	9	3
76	для него	3	3
77	того что	14	3
78	мог бы	3	3
79	совпадает с	3	3
80	и потому	3	3
81	этого слова	3	3
82	с ее	2	3
83	как раз	3	3
84	входит в	2	3
85	таким образом	23	3
86	именно в	6	3
87	и что	6	3
88	и по	3	3
89	или в	2	3
90	самим собой	2	3
91	и то	7	3
92	потому что	16	3
93	в основе	3	3
94	речи и	30	3
95	между двумя	3	3
96	в этой	3	3
97	его в	2	3
98	все эти	6	3
99	я не	3	2
100	только не	11	2
101	о чем	4	2
102	если бы	5	2
103	к действительности	2	2
104	могут быть	2	2
105	себя и	2	2
106	между собой	6	2
107	в конце	4	2
108	это не	3	2
109	этих двух	2	2
110	вовсе не	2	2
111	по себе	3	2
112	что он	8	2
113	к тому	7	2
114	об этом	3	2
115	что они	10	2
116	казалось бы	2	2
117	но напротив	2	2
118	одной стороны	5	2
119	в большинстве	2	2
120	во втором	3	2
121	одно и	3	2
122	внутренней и	2	2
123	и больше	2	2
124	о своем	2	2
125	одной из	4	2
126	мы в	3	2
127	из которых	2	2
128	имеет место	4	2
129	к его	2	2
130	слова как	5	2
131	в виду	5	2
132	чем это	5	2
133	даже в	2	2
134	своей природе	4	2
135	и тем	6	2
136	к нему	3	2
137	как говорит	5	2
138	в целом	5	2
139	во всех	6	2
140	вместе с	12	2
141	между которыми	2	2
142	как к	3	2
143	мышления и	9	2
144	и для	5	2
145	с одной	5	2
146	и состоит	3	2
147	это и	4	2
148	в той	4	2
149	и о	3	2
150	говорит что	2	2
151	самом начале	3	2
152	с точки	21	2
153	во всей	2	2
154	так же	14	2
155	и здесь	2	2
156	о том	4	2
157	в чем	3	2
158	в которой	11	2
159	отношения к	2	2
160	в области	4	2
161	на деле	2	2
162	имеет в	3	2
