N	2gram	Medvedev_S_1	Myshleni
1	и в	3	25
2	в том	5	23
3	том что	2	20
4	что в	2	17
5	таким образом	2	17
6	то что	2	15
7	в его	3	15
8	в этом	5	14
9	может быть	2	13
10	как бы	2	10
11	и что	2	10
12	было бы	2	10
13	только в	2	10
14	не в	3	6
15	не только	3	6
16	все это	7	6
17	в частности	2	4
18	в смысле	2	4
19	но и	2	4
20	еще не	2	4
21	по отношению	2	3
22	в результате	2	3
23	к которому	2	3
24	то же	2	2
25	исторического развития	2	2
26	для нас	3	2
27	метод в	4	2
28	и только	3	2
29	главным образом	2	2
30	и заключается	2	2
31	отношению к	2	2
