N	2gram	Tiupa_Hudo_1	Problema
1	то есть	18	39
2	то что	4	38
3	и не	15	37
4	вовсе не	2	37
5	и в	19	35
6	сказать что	4	24
7	не только	16	24
8	том что	8	19
9	о том	2	18
10	может быть	14	18
11	в этом	11	17
12	но и	10	16
13	такого рода	10	15
14	только в	5	14
15	не менее	3	13
16	и что	3	13
17	потому что	3	13
18	не может	7	13
19	тем не	3	12
20	в том	18	12
21	того что	4	12
22	что в	6	11
23	прежде всего	4	11
24	значения и	2	11
25	не будет	2	11
26	говорить о	3	10
27	еще не	3	10
28	а не	9	10
29	в данном	4	10
30	и то	4	10
31	если мы	2	9
32	в этой	2	9
33	языкового знака	2	9
34	для себя	2	9
35	только о	2	8
36	уже не	4	8
37	в виду	5	8
38	этого термина	2	8
39	по себе	2	8
40	как раз	3	8
41	не является	4	7
42	все эти	2	7
43	того или	3	7
44	знака к	5	7
45	в его	9	7
46	так и	11	7
47	тем самым	4	7
48	с другой	7	6
49	можно сказать	5	6
50	а только	4	6
51	ни в	5	6
52	о чем	2	6
53	так или	3	6
54	а именно	2	6
55	но как	2	6
56	в то	6	6
57	при условии	2	6
58	и для	2	6
59	или иначе	4	6
60	но в	7	6
61	в области	6	6
62	в частности	13	5
63	или иной	7	5
64	тот или	2	5
65	в самом	5	5
66	той или	4	5
67	отнюдь не	2	5
68	или иного	3	5
69	с одной	2	5
70	так же	2	5
71	и на	2	5
72	и более	2	5
73	между собой	2	5
74	этом смысле	3	5
75	как и	2	5
76	по своему	2	5
77	то же	10	5
78	одной стороны	2	5
79	другой стороны	5	5
80	с другими	4	5
81	в себе	9	5
82	и это	2	5
83	для меня	2	5
84	сама по	2	4
85	в этих	3	4
86	в своем	2	4
87	в отношении	3	4
88	и как	3	4
89	есть в	2	4
90	более или	5	4
91	случае не	2	4
92	отношение знака	3	4
93	как бы	9	4
94	не вполне	2	4
95	и тем	2	4
96	что она	2	4
97	все это	2	4
98	таким образом	3	4
99	заключается в	2	4
100	а в	12	4
101	их в	3	4
102	если бы	3	4
103	что он	3	4
104	но не	11	4
105	и о	3	4
106	или менее	5	4
107	в каком	2	4
108	далеко не	2	4
109	слова и	2	4
110	не все	2	4
111	в нашем	2	3
112	тому что	2	3
113	или даже	3	3
114	из этих	3	3
115	к тому	4	3
116	с самим	2	3
117	это отношение	3	3
118	хотя и	3	3
119	никто не	2	3
120	один из	2	3
121	в целом	3	3
122	в их	5	3
123	при этом	13	3
124	лишь в	4	3
125	и по	2	3
126	не знает	3	3
127	в основе	4	3
128	языка в	4	3
129	его в	2	3
130	и к	3	3
131	это тоже	2	3
132	и того	2	3
133	одна из	2	3
134	тех или	2	3
135	слова как	5	3
136	для того	2	3
137	и притом	3	3
138	в слове	3	3
139	том числе	2	2
140	что может	2	2
141	в той	3	2
142	не в	7	2
143	совпадает с	2	2
144	и др	2	2
145	к нему	3	2
146	сводится к	7	2
147	отличается от	2	2
148	даже в	3	2
149	в одно	2	2
150	в системе	2	2
151	или в	2	2
152	точки зрения	10	2
153	имеем в	3	2
154	однако все	2	2
155	значение знака	2	2
156	и весьма	2	2
157	в них	2	2
158	об этом	2	2
159	представляет собой	10	2
160	что каждый	2	2
161	в качестве	24	2
162	по преимуществу	2	2
163	он не	4	2
164	знаковая система	2	2
165	а также	5	2
166	и особенно	2	2
167	что и	2	2
168	во всех	3	2
169	быть и	2	2
170	входит в	4	2
171	собственно говоря	2	2
172	того чтобы	2	2
173	определенным образом	2	2
174	и ее	3	2
175	из этого	2	2
176	здесь не	2	2
