N	2gram	Bakhtin_Pr_1	Formalny
1	т е	21	32
2	и не	31	30
3	вовсе не	7	28
4	и в	29	27
5	может быть	24	25
6	не может	12	24
7	так и	7	21
8	и его	14	19
9	таким образом	12	18
10	в этом	22	18
11	а не	22	17
12	точки зрения	19	16
13	самом деле	6	16
14	и пр	3	15
15	в нем	19	15
16	в процессе	4	15
17	то же	14	15
18	между ними	2	15
19	на самом	5	14
20	как и	12	14
21	с точки	13	14
22	не в	7	12
23	если бы	9	12
24	и от	2	11
25	в самом	10	11
26	в жизни	2	11
27	и т	4	11
28	но и	14	10
29	не могут	6	10
30	так как	6	9
31	не только	15	9
32	так же	6	9
33	что в	8	8
34	ни в	3	8
35	при этом	2	8
36	в пределах	13	8
37	как бы	19	8
38	то что	15	8
39	как раз	6	8
40	входит в	7	8
41	как мы	4	8
42	только в	10	8
43	в том	8	7
44	же время	9	7
45	все это	6	7
46	потому что	8	7
47	в то	10	7
48	его в	6	7
49	между тем	5	7
50	в его	24	7
51	там где	10	7
52	все время	2	6
53	с другой	3	6
54	идеологического творчества	2	6
55	всяком случае	3	6
56	все эти	9	6
57	в своих	3	6
58	бы в	3	6
59	но в	7	6
60	произведения в	2	6
61	в литературе	4	6
62	что он	8	6
63	более того	5	6
64	еще не	5	6
65	было бы	5	6
66	и понимания	3	6
67	все же	9	6
68	в своей	8	6
69	хотя бы	2	6
70	и для	4	6
71	в данном	2	6
72	во всяком	5	6
73	и ее	2	6
74	никогда не	3	5
75	в каждом	8	5
76	зависимости от	5	5
77	войти в	2	5
78	ни было	2	5
79	в плоскости	4	5
80	друг друга	3	5
81	другой стороны	3	5
82	в одной	6	5
83	в ней	2	5
84	единство произведения	2	5
85	в результате	4	5
86	говорит он	6	5
87	в истории	2	5
88	в художественном	3	5
89	большинстве случаев	2	5
90	в единстве	6	5
91	в зависимости	5	5
92	но не	9	5
93	и потому	6	5
94	что же	4	5
95	т п	3	5
96	тому как	3	5
97	тем что	4	5
98	связи с	2	5
99	если же	3	5
100	так сказать	4	5
101	уже в	3	4
102	то ни	2	4
103	прежде всего	7	4
104	является лишь	4	4
105	в смысле	2	4
106	следовательно и	2	4
107	и как	7	4
108	в большинстве	2	4
109	до конца	8	4
110	же и	2	4
111	бы то	2	4
112	в целом	6	4
113	жизни и	2	4
114	данном случае	2	4
115	они не	4	4
116	каждый элемент	3	4
117	по себе	8	4
118	не есть	2	4
119	в романе	9	4
120	том что	7	4
121	социальной жизни	2	4
122	она не	7	4
123	конечно не	2	4
124	как в	6	4
125	менее всего	6	4
126	могут быть	6	4
127	подобно тому	3	4
128	видения и	10	4
129	бы и	4	3
130	его и	2	3
131	тому что	3	3
132	это не	9	3
133	в конце	6	3
134	те же	2	3
135	вследствие этого	2	3
136	является для	2	3
137	как таковой	2	3
138	лишь как	7	3
139	должна быть	5	3
140	дело идет	5	3
141	одним из	6	3
142	не о	2	3
143	только то	3	3
144	по отношению	8	3
145	одной плоскости	5	3
146	той же	5	3
147	этом отношении	3	3
148	и что	2	3
149	произведения и	2	3
150	в которых	2	3
151	и на	7	3
152	никак не	2	3
153	их в	4	3
154	сказать что	3	3
155	и с	4	3
156	в основе	4	3
157	и следовательно	4	3
158	он и	5	3
159	романа в	3	3
160	в плоскость	3	3
161	в них	3	3
162	раз и	4	3
163	в условиях	2	3
164	мы уже	2	3
165	о нем	9	3
166	оно не	3	3
167	отношению к	8	3
168	в произведении	4	3
169	в той	2	3
170	уже не	13	3
171	героя в	4	3
172	не на	4	3
173	самом произведении	2	3
174	то он	2	3
175	в себе	7	3
176	бы к	2	2
177	друг другу	2	2
178	в отношении	2	2
179	была бы	3	2
180	всех этих	2	2
181	но это	4	2
182	в этой	4	2
183	является не	2	2
184	художественного творчества	3	2
185	к другому	2	2
186	совпадает с	2	2
187	со всею	2	2
188	в котором	2	2
189	и др	5	2
190	был бы	6	2
191	построения романа	5	2
192	какой бы	2	2
193	нам кажется	2	2
194	он может	3	2
195	художественного замысла	2	2
196	от того	4	2
197	что она	6	2
198	отличается от	3	2
199	в своем	8	2
200	отношения к	3	2
201	но эта	4	2
202	в самой	6	2
203	именно на	2	2
204	весь этот	2	2
205	и даже	2	2
206	романа и	3	2
207	единство романа	3	2
208	материал и	3	2
209	в россии	2	2
210	конце концов	5	2
211	в чисто	2	2
212	слово в	2	2
213	в кругозор	6	2
214	лишь одним	2	2
215	поэтому и	4	2
216	с его	9	2
217	нисколько не	2	2
218	именно потому	2	2
219	сознания и	5	2
220	этом смысле	10	2
221	перестает быть	4	2
222	однако в	2	2
223	и со	2	2
224	поэтому в	2	2
225	к более	2	2
226	превращается в	4	2
227	не как	14	2
228	и во	2	2
229	же что	5	2
230	из одного	4	2
231	идет не	2	2
232	так чтобы	4	2
233	одна из	3	2
234	не об	2	2
235	мы должны	3	2
236	кажется что	2	2
237	в сущности	5	2
238	за пределы	7	2
239	таким же	3	2
240	не значит	4	2
241	на почве	3	2
242	даже в	4	2
243	сами по	3	2
244	что и	4	2
245	как не	8	2
246	это и	5	2
247	человека в	4	2
248	как их	3	2
249	в художественной	2	2
250	правда в	2	2
251	в рамки	2	2
252	и это	5	2
253	героя и	10	2
254	в единство	9	2
255	самый факт	2	2
256	окружающей действительности	2	2
257	ничего не	5	2
