N	2gram	Nazirov_Tv_2	Dialekti
1	и не	9	27
2	а не	6	26
3	и в	20	24
4	и т	13	24
5	не только	13	23
6	т д	11	23
7	не может	7	19
8	ничего не	4	17
9	и есть	2	16
10	и что	2	15
11	в таком	3	14
12	то что	3	14
13	может быть	8	13
14	таким образом	10	13
15	и даже	5	13
16	что он	6	13
17	вовсе не	2	13
18	не менее	2	11
19	отнюдь не	4	10
20	таком случае	2	10
21	но и	8	9
22	что она	4	9
23	нет ничего	3	9
24	прежде всего	8	8
25	так что	2	8
26	том что	4	8
27	в этом	8	8
28	в виде	2	8
29	что в	7	7
30	никогда не	11	7
31	в самом	3	7
32	потому что	7	7
33	как и	6	7
34	я не	2	6
35	но если	2	6
36	все это	6	6
37	и только	2	6
38	д и	2	6
39	и с	8	6
40	о том	5	6
41	так как	3	6
42	если бы	4	6
43	превращается в	3	6
44	об этом	4	6
45	то же	7	6
46	самом деле	2	6
47	с этой	3	5
48	в том	8	5
49	что его	2	5
50	но это	5	5
51	хотя и	4	5
52	точка зрения	2	5
53	и его	9	5
54	в то	10	5
55	по крайней	2	5
56	он не	3	5
57	крайней мере	2	5
58	так и	6	5
59	и тогда	2	5
60	уже не	3	5
61	что не	3	5
62	мы не	4	5
63	только в	2	5
64	с другой	2	4
65	это не	7	4
66	как о	2	4
67	во что	2	4
68	так же	5	4
69	нет и	2	4
70	у нас	2	4
71	говорить о	2	4
72	в истории	2	4
73	в чем	4	4
74	и это	3	4
75	для него	3	4
76	быть может	3	3
77	не было	2	3
78	все же	5	3
79	все время	2	3
80	и без	2	3
81	в одной	3	3
82	и от	4	3
83	не в	4	3
84	же время	7	3
85	в основе	2	3
86	в нем	3	3
87	из них	2	3
88	все эти	4	3
89	друг друга	2	3
90	и на	5	3
91	при помощи	2	3
92	ни к	2	3
93	тем что	3	3
94	одна из	3	3
95	я бы	3	3
96	как бы	11	3
97	если не	4	3
98	тем самым	4	3
99	и ее	2	3
100	зависит от	2	2
101	же как	3	2
102	в частности	2	2
103	мифа в	3	2
104	что у	4	2
105	показывает что	4	2
106	а я	2	2
107	ни во	2	2
108	тому же	2	2
109	еще не	5	2
110	при этом	8	2
111	и если	2	2
112	например в	5	2
113	всяком случае	2	2
114	другой стороны	2	2
115	именно в	6	2
116	и по	2	2
117	а в	4	2
118	в своих	3	2
119	их в	2	2
120	и многое	2	2
121	и потому	4	2
122	но в	4	2
123	не мешает	2	2
124	у него	6	2
125	в их	3	2
126	личности в	2	2
127	но не	5	2
128	себя в	2	2
129	так в	2	2
130	и у	2	2
131	и он	2	2
132	что этот	2	2
133	во всяком	2	2
134	могут быть	2	2
135	говорил что	2	2
136	в себе	3	2
137	и вообще	2	2
138	из этого	2	2
139	в его	10	2
140	более не	2	2
