N	2gram	Trubetskoy_1	DiskursI
1	в себе	6	19
2	при этом	3	17
3	состоит в	2	16
4	в качестве	3	16
5	и в	26	16
6	может быть	10	16
7	в этом	15	16
8	и не	8	15
9	а не	5	14
10	то есть	4	12
11	в мире	5	11
12	представляет собой	3	11
13	но и	9	11
14	но в	7	11
15	том что	7	10
16	не только	10	10
17	так и	6	9
18	не может	4	9
19	в том	11	8
20	а также	2	8
21	в рамках	3	7
22	не менее	3	7
23	прежде всего	2	7
24	в нем	4	7
25	но не	8	7
26	с его	2	6
27	еще не	2	6
28	все же	6	6
29	то же	4	6
30	по своей	2	6
31	а с	7	5
32	что в	9	5
33	в своем	3	5
34	с другой	8	5
35	же время	2	5
36	для него	3	5
37	то что	7	5
38	и на	2	5
39	в то	4	5
40	в одном	3	4
41	к этому	3	4
42	к его	2	4
43	одной стороны	7	4
44	как бы	12	4
45	отношению к	3	4
46	этом отношении	2	4
47	с одной	7	4
48	потому что	7	4
49	можно назвать	2	4
50	одно из	2	4
51	точки зрения	13	4
52	в этой	4	4
53	о том	6	4
54	в этих	4	3
55	в них	2	3
56	из этих	10	3
57	и все	2	3
58	или иной	2	3
59	уже не	3	3
60	и как	3	3
61	не в	2	3
62	можно сказать	3	3
63	мысль о	2	3
64	он не	4	3
65	той или	2	3
66	в его	5	3
67	в котором	4	3
68	к жизни	5	3
69	из них	7	3
70	жизни и	2	3
71	приводит к	2	3
72	не было	2	3
73	все эти	6	3
74	и наконец	2	3
75	как на	8	3
76	только в	4	3
77	же как	3	2
78	никогда не	5	2
79	к своим	4	2
80	что он	4	2
81	того же	6	2
82	отношение к	5	2
83	далеко не	4	2
84	не с	2	2
85	что и	6	2
86	с точки	6	2
87	не к	2	2
88	гораздо менее	2	2
89	вместе с	15	2
90	с ней	3	2
91	заключает в	2	2
92	именно в	2	2
93	все это	6	2
94	и для	5	2
95	а в	4	2
96	в результате	3	2
97	и с	10	2
98	или по	2	2
99	и это	2	2
100	в области	9	2
101	мы имеем	2	2
102	между тем	2	2
103	но при	2	2
