N	2gram	Medvedev_U_1	Marksizm
1	может быть	6	26
2	и не	8	26
3	не может	7	24
4	и в	14	19
5	таким образом	2	17
6	в этом	7	16
7	прежде всего	8	13
8	как и	3	12
9	и для	2	11
10	в самом	2	10
11	ни было	3	10
12	самом деле	2	10
13	для него	3	9
14	только в	2	9
15	бы то	3	8
16	но и	4	8
17	то ни	3	8
18	до сих	2	8
19	не только	10	8
20	все же	3	8
21	то что	7	8
22	сих пор	2	8
23	но в	3	7
24	то же	5	7
25	а не	10	7
26	в том	2	6
27	другой стороны	3	6
28	в его	2	6
29	мы не	2	6
30	ничего не	2	6
31	с другой	4	5
32	в конце	2	5
33	не в	2	5
34	конечно не	4	5
35	хотя бы	5	5
36	не столько	2	4
37	по себе	2	4
38	было бы	3	4
39	этом отношении	2	3
40	формы и	2	3
41	а как	2	3
42	же время	3	3
43	все это	5	3
44	конце концов	2	3
45	и формы	3	3
46	между тем	2	3
47	в то	3	3
48	же самое	2	3
49	смысле этого	2	3
50	не могут	2	3
51	том что	2	3
52	не есть	2	3
53	в своей	3	3
54	сводится к	2	3
55	является в	2	3
56	в области	3	3
57	должна быть	2	2
58	в частности	3	2
59	формы в	3	2
60	что все	2	2
61	одним из	2	2
62	для всех	2	2
63	и является	2	2
64	и только	5	2
65	не приходится	2	2
66	этом смысле	2	2
67	и с	2	2
68	если бы	2	2
69	не как	3	2
70	что он	2	2
71	в себе	2	2
72	у нас	3	2
73	на первый	2	2
74	не все	2	2
75	что и	2	2
76	бы и	2	2
77	как раз	2	2
78	что такое	4	2
79	тем что	2	2
80	могут быть	2	2
81	и т.д	3	2
