N	2gram	Voloshinov_1	UchenyiS
1	и в	15	14
2	а не	2	10
3	не только	5	10
4	и не	16	8
5	прежде всего	11	8
6	то что	10	7
7	в этом	13	7
8	не может	13	7
9	в искусстве	3	6
10	может быть	13	6
11	хотя бы	7	5
12	все это	5	5
13	и только	4	5
14	то же	7	5
15	но и	4	4
16	в этой	5	4
17	конечно не	3	4
18	что такое	3	4
19	но в	9	3
20	как и	6	3
21	и то	2	3
22	все же	5	3
23	не следует	2	3
24	в своей	9	3
25	для этого	4	3
26	же время	5	3
27	для него	5	3
28	это не	2	3
29	в то	6	3
30	было бы	6	3
31	этой области	3	3
32	в области	3	3
33	у нас	3	3
34	том что	5	2
35	но не	5	2
36	в том	4	2
37	художественной формы	2	2
38	мы не	4	2
39	с его	8	2
40	не в	4	2
41	всех этих	5	2
42	и для	2	2
43	но это	2	2
44	мы и	4	2
45	бы и	2	2
46	если бы	3	2
47	нас в	2	2
48	только в	6	2
49	и с	7	2
50	сих пор	3	2
51	могут быть	6	2
52	его и	2	2
53	что он	8	2
54	все они	2	2
55	и у	6	2
56	в себе	4	2
57	как раз	2	2
58	до сих	3	2
59	формы и	2	2
60	что мы	2	2
61	что все	5	2
62	и через	2	2
63	этом отношении	2	2
64	в самом	6	2
65	не могут	3	2
66	по себе	2	2
67	сводится к	3	2
68	одним из	3	2
69	ничего не	2	2
70	самом деле	7	2
71	для всех	2	2
72	что она	2	2
73	что и	2	2
74	в его	9	2
75	между тем	2	2
76	таким образом	21	2
77	материал для	2	2
