N	2gram	Vygotskiy__2	Russkaja
1	не может	9	22
2	и не	7	19
3	в том	33	17
4	в этом	19	17
5	и в	15	14
6	с другом	2	14
7	друг с	2	14
8	то что	20	13
9	таким образом	14	11
10	то же	5	11
11	точки зрения	26	11
12	но и	10	10
13	том что	27	9
14	не только	15	9
15	в себе	2	9
16	с точки	18	9
17	может быть	9	9
18	во всяком	7	9
19	прежде всего	4	8
20	того чтобы	12	8
21	отнюдь не	2	7
22	к тому	7	7
23	самом деле	6	7
24	в данном	3	7
25	мы должны	6	7
26	о том	9	7
27	и с	4	7
28	признать что	4	6
29	если бы	8	6
30	на самом	3	6
31	что он	12	6
32	и к	6	6
33	для него	3	6
34	для того	10	6
35	для всех	4	6
36	всяком случае	6	6
37	все это	4	6
38	в своем	9	6
39	и для	2	6
40	хотя бы	4	5
41	он должен	2	5
42	вопрос о	5	5
43	на то	6	5
44	или иной	2	5
45	при этом	3	5
46	было бы	10	5
47	в своей	4	5
48	он не	7	5
49	никогда не	8	5
50	во всех	2	5
51	и только	3	5
52	по существу	5	5
53	из которых	3	5
54	а в	4	5
55	потому что	7	5
56	только в	4	5
57	но не	3	4
58	не могут	2	4
59	что в	14	4
60	тогда когда	5	4
61	как и	6	4
62	к вопросу	2	4
63	более или	2	4
64	все что	5	4
65	как бы	7	4
66	все же	4	4
67	вместе с	6	4
68	со стороны	3	4
69	от того	2	4
70	или менее	2	4
71	что же	2	4
72	в их	2	4
73	приводит к	5	4
74	тому чтобы	2	4
75	в совершенно	4	4
76	точку зрения	6	4
77	не в	8	4
78	можно было	5	4
79	в этой	6	4
80	во всем	2	4
81	в его	2	4
82	и т.д	12	4
83	так как	4	4
84	к этой	3	4
85	он сам	3	3
86	что это	6	3
87	на том	2	3
88	именно в	2	3
89	из этих	4	3
90	что все	4	3
91	таким же	3	3
92	о которых	3	3
93	и как	2	3
94	в другом	2	3
95	лишь в	3	3
96	что они	3	3
97	должно быть	2	3
98	в качестве	4	3
99	несмотря на	4	3
100	в самом	11	3
101	том чтобы	4	3
102	одной из	3	3
103	той или	2	3
104	но если	2	3
105	для этого	3	3
106	но мы	3	3
107	что и	2	3
108	из них	3	3
109	данном случае	3	3
110	что оно	4	3
111	того что	17	3
112	и по	3	3
113	друг друга	5	3
114	что для	3	3
115	или в	3	3
116	тем что	2	3
117	говорить о	2	3
118	связи с	9	3
119	только для	3	2
120	а с	4	2
121	сама по	2	2
122	нисколько не	2	2
123	и более	2	2
124	и есть	2	2
125	в частности	6	2
126	у него	2	2
127	по этому	6	2
128	были бы	2	2
129	с этим	3	2
130	этот вопрос	5	2
131	к себе	2	2
132	состоит в	3	2
133	по себе	7	2
134	бы ни	2	2
135	ни в	2	2
136	из всех	2	2
137	это есть	2	2
138	не можем	3	2
139	указывает на	2	2
140	что с	5	2
141	с уверенностью	2	2
142	от друга	2	2
143	за то	2	2
144	но для	2	2
145	к чему	2	2
146	в котором	2	2
147	речь идет	2	2
148	для себя	3	2
149	и тем	2	2
150	на этой	2	2
151	друг от	2	2
152	для нас	4	2
153	в некоторых	2	2
154	ее в	2	2
155	и тогда	2	2
156	целый ряд	2	2
157	по отношению	6	2
158	в течение	2	2
159	все эти	3	2
160	и что	8	2
161	тем самым	3	2
162	а не	3	2
163	и даже	5	2
164	так же	4	2
165	в других	2	2
166	на которой	2	2
167	общественной жизни	2	2
168	том же	2	2
169	в результате	3	2
170	их в	4	2
171	больше чем	2	2
172	в силу	2	2
173	мы можем	10	2
174	остается в	2	2
175	мы уже	6	2
176	в начале	4	2
177	последнее время	5	2
178	во время	3	2
179	на эту	2	2
180	в этих	2	2
181	с ним	3	2
182	но в	6	2
