N	2gram	Berdyaev_V_1	DiskursI
1	и в	16	16
2	как и	4	16
3	в этом	4	16
4	и не	20	15
5	а не	7	14
6	в мире	5	11
7	но и	5	11
8	но в	3	11
9	том что	2	10
10	не только	2	10
11	так и	4	9
12	в том	3	8
13	прежде всего	2	7
14	в нем	4	7
15	ни в	3	7
16	но не	2	7
17	с его	3	6
18	еще не	8	6
19	в своей	3	6
20	а с	2	5
21	что в	3	5
22	для него	2	5
23	то что	9	5
24	как бы	5	4
25	потому что	4	4
26	и то	2	4
27	могут быть	2	3
28	в этих	3	3
29	в них	3	3
30	это не	2	3
31	и все	4	3
32	уже не	2	3
33	не в	3	3
34	в его	4	3
35	в котором	4	3
36	жизни и	3	3
37	не было	3	3
38	все эти	3	3
39	но это	3	3
40	только в	2	3
41	мира в	2	3
42	никогда не	3	2
43	что он	4	2
44	а к	2	2
45	должна быть	3	2
46	это еще	4	2
47	в ней	4	2
48	не с	2	2
49	что и	3	2
50	не к	2	2
51	в себя	2	2
52	все это	5	2
53	более чем	2	2
54	и для	3	2
55	должно быть	3	2
56	а в	2	2
57	их в	3	2
58	говорить о	4	2
59	и это	2	2
60	между тем	2	2
