N	2gram	Voloshinov_1	EvropaiE
1	и в	12	37
2	в отношении	2	32
3	в пределах	3	25
4	точки зрения	14	23
5	что в	2	21
6	не только	4	18
7	с точки	2	17
8	в то	2	16
9	хотя бы	5	15
10	то же	5	15
11	отношении к	3	15
12	в своем	2	14
13	но и	3	14
14	и не	10	14
15	но в	5	14
16	в этом	4	12
17	в том	6	11
18	так и	4	10
19	отнюдь не	5	9
20	прежде всего	8	9
21	не может	16	9
22	в себе	3	9
23	только в	6	9
24	так же	3	9
25	одной стороны	2	8
26	в своей	3	8
27	с одной	2	8
28	между тем	3	8
29	как и	5	7
30	того что	3	7
31	с другой	4	7
32	так как	9	7
33	с этой	2	6
34	том что	5	6
35	стороны и	2	6
36	может быть	14	6
37	как бы	13	6
38	то что	5	6
39	и на	4	6
40	не в	4	5
41	но не	2	5
42	и по	3	5
43	этой точки	3	5
44	и потому	2	5
45	ни было	4	4
46	независимо от	2	4
47	то ни	3	4
48	можно сказать	5	4
49	бы то	3	4
50	в самом	4	4
51	в ней	6	4
52	в процессе	6	4
53	по себе	3	4
54	для нас	7	4
55	мы не	3	4
56	и притом	2	4
57	сказать что	7	4
58	в каком	3	4
59	как это	2	4
60	место в	2	3
61	и к	4	3
62	никогда не	5	3
63	в них	3	3
64	мы можем	2	3
65	известной степени	2	3
66	что и	2	3
67	когда он	3	3
68	как в	5	3
69	и для	3	3
70	как на	2	3
71	к ним	2	3
72	ни на	2	3
73	в данном	2	3
74	о том	3	3
75	дело в	4	3
76	там где	2	3
77	и более	3	2
78	а не	5	2
79	в этих	2	2
80	в какой	2	2
81	и все	2	2
82	к нему	4	2
83	поскольку они	2	2
84	влияние на	2	2
85	как же	2	2
86	такой же	2	2
87	между ними	2	2
88	должна быть	5	2
89	она не	2	2
90	не к	3	2
91	имеет место	2	2
92	он не	2	2
93	в его	2	2
94	в котором	3	2
95	точка зрения	3	2
96	не есть	2	2
97	жизни и	4	2
98	как не	2	2
99	в некоторых	3	2
100	вместе с	2	2
101	данном случае	2	2
102	таким образом	12	2
103	если бы	9	2
104	и что	2	2
105	и наконец	3	2
106	другой стороны	2	2
107	с другими	2	2
108	и та	2	2
109	и с	3	2
110	могут быть	2	2
111	ведь и	3	2
112	и то	2	2
113	между собой	2	2
114	можем сказать	2	2
115	тогда когда	2	2
116	имеет в	3	2
