N	2gram	Bakhtin_fo_2	Myshleni
1	в том	10	42
2	том что	4	35
3	с помощью	3	31
4	таким образом	3	25
5	точки зрения	10	24
6	в этом	22	24
7	в качестве	3	21
8	и в	46	20
9	что в	5	19
10	в основе	6	17
11	то же	8	16
12	то что	7	15
13	не только	11	15
14	что они	4	14
15	как мы	6	13
16	с другой	2	12
17	при этом	6	12
18	в их	3	12
19	потому что	8	12
20	может быть	7	12
21	так же	2	11
22	в его	8	11
23	с точки	8	11
24	того что	3	10
25	на основе	3	10
26	в истории	4	10
27	так как	6	10
28	в отношении	2	10
29	мы видим	2	10
30	в себе	4	10
31	только в	11	10
32	и другие	3	9
33	и как	3	9
34	но и	9	9
35	с одной	2	9
36	как это	2	9
37	как и	8	9
38	того же	3	9
39	тот же	3	9
40	что и	3	9
41	и не	9	8
42	было бы	2	8
43	вместе с	9	8
44	и более	2	7
45	друг с	4	7
46	как бы	10	7
47	этом отношении	2	7
48	же самое	3	7
49	с другом	4	7
50	а не	4	7
51	того чтобы	8	7
52	тем что	3	7
53	могут быть	2	7
54	уже в	4	6
55	к тому	3	6
56	мы видели	2	6
57	не может	2	6
58	те же	6	6
59	и на	7	6
60	его в	6	6
61	с тем	2	6
62	что он	3	6
63	в частности	5	5
64	никогда не	6	5
65	целый ряд	3	5
66	это не	2	5
67	на друга	2	5
68	друг на	2	5
69	не является	3	5
70	и его	12	5
71	с этим	5	5
72	и к	2	5
73	все же	6	5
74	о том	4	5
75	мы уже	9	5
76	так и	7	5
77	как в	4	5
78	для того	8	5
79	все эти	5	5
80	слова и	3	5
81	в своем	5	4
82	первый план	2	4
83	как уже	3	4
84	словом и	2	4
85	из них	8	4
86	и только	2	4
87	роль в	3	4
88	с этой	4	4
89	как он	2	4
90	и с	6	4
91	к этому	3	4
92	на первый	3	4
93	по своему	2	4
94	в смысле	5	4
95	в сущности	2	4
96	тем же	2	4
97	между ними	2	4
98	не в	9	4
99	и для	9	4
100	во всяком	2	4
101	на этом	2	3
102	в этих	3	3
103	и от	2	3
104	что все	2	3
105	так что	4	3
106	в этой	2	3
107	почти всегда	2	3
108	в виду	3	3
109	один из	2	3
110	в связи	8	3
111	в совершенно	3	3
112	именно в	2	3
113	и других	2	3
114	должно быть	5	3
115	но в	10	3
116	отнюдь не	4	3
117	и во	6	3
118	этом случае	2	3
119	по существу	5	3
120	но не	5	3
121	со всеми	2	3
122	наряду с	2	3
123	одновременно с	2	3
124	связи с	8	3
125	место в	4	2
126	том числе	3	2
127	все основные	2	2
128	мы будем	3	2
129	числе и	2	2
130	прежде всего	14	2
131	очень часто	2	2
132	что на	3	2
133	для него	3	2
134	и у	5	2
135	в реальном	3	2
136	в нем	5	2
137	уже говорили	4	2
138	здесь мы	3	2
139	мы наблюдаем	3	2
140	а в	3	2
141	для других	3	2
142	не знает	2	2
143	опирается на	2	2
144	также и	4	2
145	в данном	2	2
146	из этих	4	2
147	что здесь	2	2
148	их в	4	2
149	мы имеем	2	2
150	у него	9	2
151	а потом	2	2
152	в историческом	2	2
153	а затем	3	2
154	еще не	6	2
155	том же	4	2
156	далеко не	2	2
157	а также	3	2
158	и т.п	2	2
159	если не	2	2
160	в той	2	2
161	и он	4	2
162	это значит	3	2
163	ту же	2	2
164	на котором	2	2
165	и это	2	2
166	здесь не	2	2
167	значит что	2	2
