N	2gram	Berdyaev_V_1	Dialekti
1	не есть	6	47
2	и не	20	30
3	и в	16	19
4	не только	2	19
5	и т	2	17
6	а не	7	16
7	т д	2	15
8	то что	9	14
9	в том	3	14
10	как бы	5	14
11	так как	9	14
12	потому что	4	14
13	но и	5	12
14	и все	4	12
15	ни в	3	10
16	как и	4	10
17	в нем	4	10
18	так и	4	10
19	том что	2	10
20	это не	2	10
21	никогда не	3	9
22	прежде всего	2	8
23	не в	3	8
24	в этом	4	8
25	в своей	3	8
26	но это	3	7
27	что в	3	7
28	должно быть	3	7
29	и то	2	7
30	что он	4	6
31	что не	4	6
32	да и	2	6
33	что они	7	6
34	но не	2	6
35	конечно не	2	6
36	того что	5	6
37	жизни и	3	6
38	личности и	3	6
39	должна быть	3	5
40	и потому	7	5
41	что и	3	5
42	и это	2	5
43	все равно	2	5
44	и что	3	5
45	говорить о	4	5
46	только в	2	5
47	во мне	4	4
48	и есть	4	4
49	не могут	2	4
50	еще не	8	4
51	хотя бы	3	4
52	все это	5	4
53	а в	2	4
54	могут быть	2	4
55	в личности	2	4
56	с ним	2	4
57	в этих	3	3
58	уже не	2	3
59	и мы	3	3
60	и тогда	2	3
61	не было	3	3
62	от этого	3	3
63	в чем	3	3
64	мы это	2	2
65	в конце	3	2
66	человека и	6	2
67	но мы	2	2
68	то это	3	2
69	к тому	3	2
70	есть уже	2	2
71	это еще	4	2
72	что я	3	2
73	в истории	8	2
74	не будет	2	2
75	с тем	2	2
76	это мы	2	2
77	в ней	4	2
78	когда я	2	2
79	в мире	5	2
80	как не	3	2
81	и я	4	2
82	во всех	3	2
83	ее в	2	2
84	тому что	3	2
85	что есть	5	2
86	личность как	2	2
87	это все	2	2
88	и они	3	2
89	его не	2	2
90	бы и	3	2
91	их в	3	2
92	между тем	2	2
93	тем что	2	2
94	личности а	2	2
95	что мы	4	2
96	во всяком	2	2
97	все эти	3	2
98	которые не	2	2
99	мы же	3	2
100	но в	3	2
101	в жизни	3	2
