N	2gram	Vygotskiy__2	Analitik
1	может быть	18	29
2	в том	37	27
3	не может	17	22
4	и не	10	21
5	в частности	3	19
6	и в	32	18
7	а не	7	17
8	но и	10	17
9	отнюдь не	5	15
10	не только	12	15
11	не в	8	14
12	художественного впечатления	2	14
13	как и	10	13
14	в его	2	13
15	в этом	13	13
16	том что	21	12
17	при этом	13	12
18	состоит в	3	11
19	в себе	2	11
20	эстетического объекта	2	11
21	то есть	21	11
22	но не	2	10
23	то же	13	9
24	а в	4	9
25	иначе говоря	4	9
26	в то	5	9
27	есть не	4	8
28	но в	3	8
29	к тому	7	7
30	том чтобы	3	7
31	произведения как	2	7
32	это не	2	6
33	же время	2	6
34	в самом	12	6
35	в сущности	7	6
36	далеко не	5	6
37	то что	21	6
38	в своей	3	6
39	отличие от	2	6
40	в основе	11	6
41	точки зрения	17	6
42	только в	7	6
43	мы имеем	4	6
44	художественного произведения	5	5
45	и как	7	5
46	в этой	6	5
47	что в	20	5
48	как бы	6	5
49	в целом	4	5
50	художественное произведение	6	5
51	в их	3	5
52	сводится к	2	5
53	и его	7	5
54	между тем	4	5
55	и на	5	5
56	о том	6	5
57	в произведении	4	5
58	на вопрос	2	4
59	того что	8	4
60	и более	4	4
61	искусства в	5	4
62	могут быть	4	4
63	конечном счете	3	4
64	столь же	4	4
65	с другой	3	4
66	и другого	3	4
67	по себе	12	4
68	ни в	2	4
69	того же	2	4
70	для того	13	4
71	в конечном	3	4
72	все же	4	4
73	вместе с	2	4
74	так и	3	4
75	дело с	8	4
76	из того	2	4
77	из которых	2	4
78	с точки	10	4
79	с другими	2	4
80	место в	2	3
81	не могут	3	3
82	с его	2	3
83	однако не	2	3
84	то ни	2	3
85	хотя бы	3	3
86	и все	4	3
87	или иного	2	3
88	в нем	4	3
89	и к	3	3
90	что он	13	3
91	всякий раз	2	3
92	и т	10	3
93	еще не	2	3
94	что не	3	3
95	он не	6	3
96	если в	2	3
97	что и	17	3
98	бы то	2	3
99	это означает	2	3
100	смысл и	2	3
101	таким образом	21	3
102	а с	2	3
103	того чтобы	14	3
104	того или	3	3
105	к нему	2	3
106	в таком	2	3
107	тому как	3	3
108	подобно тому	2	3
109	т п	8	3
110	того и	2	3
111	как будто	7	3
112	произведения искусства	4	3
113	как он	2	3
114	в художественном	6	3
115	если бы	6	3
116	творчества и	3	2
117	и то	3	2
118	на все	5	2
119	никогда не	9	2
120	все эти	7	2
121	для этого	3	2
122	в какой	2	2
123	тогда когда	3	2
124	была бы	2	2
125	вовсе не	2	2
126	том и	2	2
127	что именно	3	2
128	в искусстве	21	2
129	и процессы	2	2
130	такой же	7	2
131	и сам	4	2
132	отношение к	2	2
133	было бы	11	2
134	несмотря на	4	2
135	на его	2	2
136	душевной жизни	2	2
137	искусства является	4	2
138	в свое	2	2
139	сами по	3	2
140	произведения с	2	2
141	один из	3	2
142	как говорит	3	2
143	не к	3	2
144	из них	4	2
145	ли он	2	2
146	в процессе	2	2
147	и до	4	2
148	данном случае	4	2
149	не остается	2	2
150	что же	3	2
151	остается ничего	2	2
152	другой стороны	2	2
153	отличается от	2	2
154	на примере	2	2
155	как к	3	2
156	на этом	3	2
157	бы не	2	2
158	той же	8	2
159	этом отношении	5	2
160	на самом	5	2
161	для художественного	2	2
162	самом деле	16	2
163	может служить	3	2
164	едва ли	4	2
165	и по	4	2
166	роль в	2	2
167	каждый из	2	2
168	также и	2	2
169	тем более	2	2
170	с двумя	2	2
171	в данном	4	2
172	одного и	2	2
173	же самое	6	2
174	и заключается	3	2
175	могли бы	2	2
176	искусство в	2	2
177	при помощи	10	2
178	которые в	4	2
179	так как	12	2
180	думать что	3	2
181	потому что	21	2
182	в которой	2	2
183	в сознании	4	2
184	и с	4	2
