N	2gram	Medvedev_F_2	Vladivir
1	и в	38	30
2	то что	6	20
3	в этом	27	20
4	в том	11	18
5	и не	20	18
6	и с	9	14
7	что он	5	13
8	в конце	2	13
9	том что	2	12
10	что в	7	12
11	не только	9	12
12	в его	10	11
13	а в	6	11
14	как мы	7	11
15	сказать что	2	11
16	и даже	4	10
17	не было	6	10
18	не в	15	9
19	для него	7	9
20	кроме того	2	9
21	было бы	6	9
22	все же	8	9
23	потому что	2	9
24	не может	14	9
25	в то	5	9
26	связи с	13	8
27	вместе с	6	8
28	но и	13	8
29	что же	5	8
30	в связи	10	8
31	но в	4	8
32	никогда не	2	7
33	точки зрения	8	7
34	и все	3	7
35	ни в	2	7
36	до конца	2	7
37	может быть	23	7
38	а не	6	7
39	как это	2	7
40	хотя и	3	6
41	к этому	4	6
42	прежде всего	15	6
43	и к	4	6
44	он был	2	6
45	только в	6	6
46	всяком случае	5	6
47	во всяком	5	6
48	жизни и	3	6
49	а именно	2	6
50	и его	21	6
51	и то	2	5
52	по себе	7	5
53	как и	9	5
54	в дальнейшем	4	5
55	то в	2	5
56	при этом	9	5
57	в своей	7	5
58	как бы	4	5
59	в котором	2	5
60	так и	8	5
61	все это	3	5
62	с этим	5	5
63	того что	3	5
64	в результате	6	5
65	все эти	6	5
66	так как	4	5
67	с ним	2	5
68	из этого	2	5
69	совсем не	2	4
70	с его	11	4
71	именно в	5	4
72	вовсе не	11	4
73	его в	3	4
74	мы знаем	3	4
75	в этой	6	4
76	в целом	3	4
77	что это	3	4
78	и о	2	4
79	в ней	6	4
80	он не	6	4
81	это время	2	4
82	в нем	13	4
83	то это	3	4
84	не есть	3	4
85	в этих	2	4
86	со стороны	2	4
87	то же	6	4
88	и наконец	4	4
89	и на	3	4
90	но это	2	4
91	здесь не	4	4
92	в которой	2	4
93	отношение к	2	4
94	это было	3	4
95	уже в	2	3
96	всех этих	3	3
97	должен был	2	3
98	хотя бы	6	3
99	едва ли	2	3
100	из этих	3	3
101	же время	5	3
102	что и	8	3
103	был и	2	3
104	по существу	7	3
105	и как	3	3
106	можно говорить	2	3
107	но не	2	3
108	он и	3	3
109	и для	5	3
110	еще более	5	3
111	с точки	7	3
112	во всех	5	3
113	как в	4	3
114	в отличие	2	3
115	таким образом	20	3
116	только и	3	3
117	уже не	7	3
118	должно быть	2	3
119	отличие от	2	3
120	в таком	2	3
121	не столько	4	3
122	даже и	4	3
123	и это	2	3
124	конце концов	2	3
125	в области	3	3
126	не могли	2	3
127	не то	3	3
128	к нему	3	2
129	с тем	11	2
130	первый план	2	2
131	борьба с	2	2
132	со своей	2	2
133	это не	2	2
134	правда в	2	2
135	и от	2	2
136	раз и	4	2
137	мы видели	4	2
138	же это	2	2
139	к тому	4	2
140	на первый	2	2
141	в общем	5	2
142	на котором	2	2
143	можно и	3	2
144	а к	2	2
145	на этом	2	2
146	и может	3	2
147	она не	2	2
148	в каких	2	2
149	во второй	2	2
150	в самом	16	2
151	в сущности	4	2
152	в статье	4	2
153	же и	2	2
154	для того	3	2
155	в виду	2	2
156	даже в	2	2
157	не имеет	2	2
158	и до	3	2
159	он пишет	2	2
160	в их	6	2
161	нужно понимать	2	2
162	как к	3	2
163	но все	3	2
164	в теории	4	2
165	в той	2	2
166	того чтобы	3	2
167	что не	4	2
168	в чем	2	2
169	и по	2	2
170	и нужно	2	2
171	и прежде	3	2
172	его не	2	2
173	что для	2	2
174	их в	2	2
175	сам по	3	2
176	не о	4	2
177	к его	2	2
178	ничего не	4	2
179	мы не	3	2
