N	2gram	Medvedev_V_1	EvropaiC
1	таким образом	31	32
2	в том	15	31
3	и в	26	24
4	том что	8	20
5	все эти	6	19
6	не может	17	18
7	то что	6	17
8	может быть	22	15
9	все же	5	15
10	точки зрения	3	13
11	в своем	8	12
12	в этом	26	12
13	все это	10	11
14	между тем	5	11
15	с этим	3	11
16	отношению к	7	10
17	мы знаем	3	10
18	как бы	5	10
19	из себя	2	10
20	по отношению	7	10
21	во всех	6	10
22	так и	5	10
23	в результате	5	9
24	как и	7	9
25	что в	10	9
26	не в	6	8
27	в самом	4	8
28	так же	3	8
29	знаем что	2	8
30	если бы	3	8
31	не менее	2	7
32	к тому	4	7
33	но и	10	7
34	и не	19	7
35	из этих	7	7
36	о том	10	7
37	что он	4	7
38	по существу	3	7
39	в силу	11	7
40	из элементов	2	7
41	или менее	6	7
42	того чтобы	3	7
43	для того	3	7
44	более или	6	7
45	все они	2	6
46	с другой	11	6
47	в этой	4	6
48	в общем	2	6
49	отличается от	2	6
50	того что	3	6
51	как на	3	6
52	в сознании	4	6
53	и при	5	6
54	еще не	2	6
55	что и	3	6
56	у них	2	6
57	только в	7	6
58	вместе с	7	6
59	именно в	2	5
60	и от	3	5
61	что все	3	5
62	у него	6	5
63	в пользу	2	5
64	в целом	4	5
65	и их	3	5
66	другой стороны	8	5
67	его в	3	5
68	между собою	2	5
69	но в	2	5
70	к этому	9	5
71	и к	3	5
72	в то	6	5
73	что при	2	5
74	в его	14	5
75	не только	25	5
76	и для	2	5
77	лишь в	2	5
78	в себе	6	5
79	далеко не	2	5
80	в которой	2	5
81	на вопрос	2	4
82	не могут	7	4
83	никогда не	4	4
84	самого себя	2	4
85	в конце	3	4
86	что его	2	4
87	одним из	5	4
88	хотя и	2	4
89	из них	9	4
90	в их	5	4
91	должно быть	2	4
92	всех этих	2	4
93	связи с	4	4
94	ни один	7	4
95	том же	6	4
96	он не	2	4
97	конце концов	2	4
98	многие из	2	4
99	то же	10	4
100	в течение	2	4
101	этой области	3	4
102	из которых	2	4
103	и у	2	4
104	хотя бы	19	4
105	в области	2	4
106	может не	2	3
107	же как	2	3
108	с одной	2	3
109	они должны	2	3
110	но даже	3	3
111	не подлежит	2	3
112	с более	2	3
113	как у	2	3
114	очевидно что	7	3
115	по одному	2	3
116	не вполне	2	3
117	в нем	6	3
118	от того	2	3
119	что оно	3	3
120	образом в	3	3
121	заключается в	2	3
122	и наконец	2	3
123	и по	3	3
124	а в	3	3
125	это не	7	3
126	что мы	2	3
127	при помощи	3	3
128	и потому	2	3
129	бы в	3	3
130	с тем	3	3
131	прежде всего	13	3
132	в жизни	2	3
133	у нас	2	3
134	как известно	2	3
135	и может	2	3
136	даже в	5	3
137	только что	4	3
138	должны быть	2	3
139	в связи	3	3
140	и весь	2	2
141	в частности	11	2
142	можно ли	2	2
143	тому что	6	2
144	что у	2	2
145	сводится к	3	2
146	для него	8	2
147	что они	3	2
148	же время	5	2
149	одной стороны	2	2
150	том чтобы	2	2
151	но для	2	2
152	в ней	2	2
153	в виду	4	2
154	в котором	3	2
155	мы видели	3	2
156	по его	2	2
157	этот процесс	2	2
158	что она	2	2
159	показывают что	3	2
160	что для	3	2
161	эти примеры	2	2
162	они не	2	2
163	с ними	4	2
164	в которых	3	2
165	не следует	8	2
166	но как	3	2
167	говорить о	2	2
168	не было	7	2
169	также и	2	2
170	а для	2	2
171	только не	2	2
172	представляет собою	11	2
173	отнюдь не	3	2
174	в них	4	2
175	тогда когда	2	2
176	должен быть	4	2
177	представить себе	2	2
178	вовсе не	3	2
179	а затем	2	2
180	одна из	4	2
181	но не	2	2
182	только то	2	2
183	она не	3	2
184	было бы	7	2
185	жизни и	3	2
186	между прочим	2	2
187	сил и	3	2
188	него в	3	2
189	в процессе	16	2
190	но с	2	2
191	между ними	3	2
192	этот вопрос	3	2
193	и социальной	2	2
194	и ее	4	2
195	в другом	2	2
196	ту же	2	2
197	представления об	2	2
198	все его	2	2
