N	3gram	Vygotskiy__4	Myslijsy
1	в том что	31	16
2	смысле этого слова	7	7
3	и то же	6	5
4	одно и то	6	5
5	с другой стороны	8	4
6	но и в	2	4
7	вместе с тем	3	4
8	и тем же	3	3
9	тем же словом	4	3
10	в том смысле	2	3
11	одним и тем	3	3
12	в свою очередь	2	3
13	с одной стороны	9	3
14	только в том	2	3
15	для того чтобы	5	3
16	и той же	4	2
17	в собственном смысле	7	2
18	именно то что	2	2
19	в этом отношении	7	2
20	но вместе с	2	2
21	то же слово	3	2
22	в том чтобы	2	2
23	не могут быть	2	2
24	не только не	5	2
25	подобно тому как	2	2
26	одной и той	4	2
