N	2gram	Medvedev_V_1	Hudozhes
1	том что	8	16
2	и в	26	14
3	так и	5	13
4	а не	7	12
5	в том	15	12
6	не только	25	12
7	о том	10	12
8	прежде всего	13	11
9	и т	23	11
10	в этом	26	11
11	в себе	6	11
12	для него	8	10
13	в своей	4	10
14	у него	6	9
15	что он	4	9
16	как и	7	9
17	в качестве	11	9
18	то же	10	9
19	то что	6	8
20	же время	5	8
21	отношению к	7	8
22	по отношению	7	8
23	т п	9	8
24	между тем	5	8
25	в этой	4	8
26	в то	6	8
27	в его	14	8
28	это не	7	7
29	к тому	4	7
30	не в	6	7
31	еще не	2	7
32	как бы	5	7
33	не может	17	7
34	именно в	2	7
35	а в	3	7
36	никогда не	4	6
37	что в	10	6
38	было бы	7	6
39	человека в	2	6
40	не менее	2	5
41	перед нами	4	5
42	с его	3	5
43	в частности	11	5
44	об этом	9	5
45	может быть	22	5
46	только в	7	5
47	и он	2	5
48	но и	10	5
49	жизни и	3	5
50	и его	6	5
51	можно было	2	5
52	точки зрения	3	5
53	но в	2	5
54	связи с	4	4
55	тому что	6	4
56	в своем	8	4
57	и быть	2	4
58	т е	18	4
59	и от	3	4
60	можно сказать	4	4
61	и к	3	4
62	она не	3	4
63	в самом	4	4
64	в ней	2	4
65	один из	5	4
66	что она	2	4
67	из них	9	4
68	как раз	3	4
69	не было	7	4
70	того что	3	4
71	только что	4	4
72	он не	2	4
73	в конце	3	4
74	всего лишь	3	4
75	но не	2	3
76	в творческом	2	3
77	если бы	3	3
78	отнюдь не	3	3
79	что у	2	3
80	с этим	3	3
81	же в	6	3
82	в ее	4	3
83	говорить о	2	3
84	из рассказа	2	3
85	что при	2	3
86	в пределах	5	3
87	даже в	5	3
88	в нем	6	3
89	все же	5	3
90	приводит к	5	3
91	в связи	3	3
92	т д	14	3
93	и для	2	3
94	этом отношении	13	3
95	все эти	6	3
96	лишь в	2	3
97	того чтобы	3	3
98	и даже	2	3
99	и по	3	3
100	в своих	2	3
101	будто бы	2	3
102	его в	3	3
103	в творчестве	3	3
104	том как	3	3
105	если в	2	2
106	конечном счете	5	2
107	на вопрос	2	2
108	не столько	2	2
109	произведения не	2	2
110	и потому	2	2
111	своих героев	2	2
112	то о	2	2
113	по себе	2	2
114	в конечном	7	2
115	мы знаем	3	2
116	остановимся на	2	2
117	в другом	2	2
118	же как	2	2
119	одна из	4	2
120	в целом	4	2
121	со своим	2	2
122	себе и	2	2
123	например в	3	2
124	хотя и	2	2
125	как он	2	2
126	в форме	3	2
127	в их	5	2
128	все это	10	2
129	и не	19	2
130	но с	2	2
131	при всей	2	2
132	они не	2	2
133	в значительной	3	2
134	в системе	2	2
135	что не	3	2
136	того или	2	2
137	должно быть	2	2
138	на основе	5	2
139	с ними	4	2
140	в результате	5	2
141	пока еще	2	2
142	действующих лиц	5	2
143	как от	2	2
144	не о	2	2
145	не следует	8	2
146	в художественном	10	2
147	но как	3	2
148	так сказать	2	2
149	которая не	2	2
