N	3gram	Vygotskiy__4	Dialekti
1	и т д	2	19
2	с точки зрения	4	12
3	сама по себе	3	8
4	в том что	12	7
5	сам по себе	2	6
6	так как она	3	4
7	можно было бы	4	4
8	на то что	6	4
9	с другой стороны	2	4
10	в нем нет	2	3
11	потому что он	2	3
12	и в этом	3	3
13	в конце концов	3	3
14	что в нем	5	3
15	как она есть	2	3
16	по себе и	2	2
17	к тому что	5	2
18	одна и та	2	2
19	о том что	10	2
20	с одной стороны	3	2
21	что он не	4	2
22	точно так же	3	2
23	и та же	2	2
24	и т п	3	2
25	это и есть	3	2
26	и в частности	2	2
27	до сих пор	3	2
28	во всяком случае	3	2
29	на самом деле	5	2
