N	2gram	Savitsky_E_1	Problemy
1	и в	37	35
2	как бы	6	31
3	и не	14	27
4	в его	2	21
5	но в	14	19
6	не может	9	18
7	как и	7	18
8	то есть	6	16
9	то же	15	15
10	и все	2	15
11	но и	14	14
12	может быть	6	14
13	в этом	12	14
14	к нему	2	13
15	он не	2	13
16	прежде всего	9	12
17	и с	2	12
18	и к	3	12
19	в пределах	25	11
20	в то	16	11
21	не в	5	10
22	же время	14	10
23	не только	18	10
24	то что	6	10
25	в отношении	32	9
26	так и	10	8
27	потому что	3	8
28	как мы	5	8
29	и для	3	8
30	на них	2	7
31	так же	9	7
32	а в	2	7
33	и наконец	2	7
34	точки зрения	23	7
35	вовсе не	6	7
36	что же	2	7
37	в виде	5	7
38	отношении к	15	7
39	там где	3	7
40	таким образом	2	7
41	он сам	2	6
42	что в	21	6
43	к тому	8	6
44	и что	2	6
45	в самом	4	6
46	и на	6	6
47	в одном	2	6
48	но не	5	6
49	только в	9	6
50	в том	11	5
51	и даже	6	5
52	даже в	4	5
53	как в	3	5
54	и то	2	5
55	в себе	9	5
56	но на	3	4
57	никогда не	3	4
58	с другой	7	4
59	или иной	4	4
60	в мире	2	4
61	друг с	3	4
62	всяком случае	3	4
63	между тем	8	4
64	в эту	2	4
65	той или	4	4
66	но как	2	4
67	ведь и	2	4
68	так как	7	4
69	бы в	2	4
70	в них	3	4
71	по себе	4	4
72	по своему	7	4
73	в своей	8	4
74	и прежде	3	4
75	в той	5	4
76	а не	2	4
77	во всяком	3	4
78	тем что	3	4
79	как будто	2	4
80	с другом	3	4
81	что это	2	4
82	то ни	4	3
83	и от	3	3
84	такой же	2	3
85	ни было	4	3
86	в общем	3	3
87	дело идет	2	3
88	бы то	4	3
89	из них	3	3
90	другой стороны	2	3
91	и со	3	3
92	того что	7	3
93	сказать что	4	3
94	и во	2	3
95	мы должны	2	3
96	в котором	2	3
97	с тем	3	3
98	с этим	2	3
99	этом смысле	3	3
100	в ее	8	3
101	том что	6	3
102	было бы	8	3
103	во всех	6	3
104	что и	3	3
105	когда он	3	3
106	в сторону	2	2
107	в этих	2	2
108	столь же	5	2
109	вообще не	3	2
110	с этой	6	2
111	что все	2	2
112	именно потому	2	2
113	вопрос о	4	2
114	одна и	2	2
115	что на	2	2
116	в большинстве	2	2
117	она в	3	2
118	хотя и	2	2
119	мог бы	2	2
120	можем сказать	2	2
121	мы видели	3	2
122	тому чтобы	2	2
123	в своем	14	2
124	и тут	2	2
125	и по	5	2
126	в которых	3	2
127	в ней	4	2
128	к ней	4	2
129	по своей	2	2
130	ни на	3	2
131	о том	3	2
132	большинстве случаев	3	2
133	уже и	3	2
134	и та	2	2
135	и того	2	2
136	то в	4	2
137	и отчасти	2	2
138	ли это	3	2
139	но именно	2	2
140	кажется что	2	2
141	одной из	5	2
142	и этот	2	2
143	вместе с	2	2
144	этот процесс	2	2
145	бы и	3	2
146	говорит о	3	2
147	на этот	2	2
148	и как	2	2
149	хотя бы	15	2
150	с точки	17	2
151	или в	2	2
152	можно было	3	2
153	с другими	2	2
154	мы можем	3	2
