N	3gram	Losev_Prob_2	Psycholo
1	для того чтобы	2	19
2	в том что	4	12
3	о том что	14	10
4	в самом деле	2	7
5	то же самое	5	6
6	на то что	4	6
7	с самого начала	2	5
8	на самом деле	2	5
9	можно было бы	2	4
10	и в этом	3	3
11	точно так же	3	3
12	во всяком случае	10	3
13	в конце концов	7	3
14	это и есть	2	3
15	сама по себе	4	3
16	с одной стороны	5	3
17	то что мы	7	3
18	до сих пор	4	3
19	заключается в том	2	3
20	сами по себе	2	3
21	и той же	2	2
22	по себе и	2	2
23	до тех пор	4	2
24	и т д	6	2
25	никак не может	2	2
26	с другой стороны	5	2
27	и в частности	3	2
28	не только не	2	2
29	одной и той	2	2
