N	2gram	Bakhtin_Pr_1	StatiiOP
1	и в	38	29
2	том что	3	27
3	в том	8	27
4	в этом	15	21
5	но и	9	19
6	что в	7	19
7	не только	9	19
8	о том	4	17
9	что он	2	13
10	в его	43	13
11	то что	8	11
12	все это	3	11
13	таким образом	10	10
14	в своем	5	9
15	и т	14	9
16	так и	5	9
17	этом отношении	2	9
18	и не	42	9
19	он не	3	9
20	по поводу	2	8
21	и пр	2	8
22	но в	4	8
23	в самом	7	7
24	в ней	4	7
25	в виду	4	7
26	в котором	2	7
27	я не	2	7
28	в своей	7	7
29	для того	2	7
30	вовсе не	2	6
31	все же	6	6
32	и что	2	6
33	того чтобы	2	6
34	и его	16	6
35	и на	3	6
36	прежде всего	13	5
37	была бы	2	5
38	было бы	8	5
39	как бы	22	5
40	а не	5	5
41	того что	2	5
42	между тем	7	5
43	точки зрения	8	5
44	а как	3	4
45	в частности	2	4
46	с другой	7	4
47	но с	3	4
48	к этому	2	4
49	в романе	4	4
50	не в	7	4
51	кроме того	3	4
52	и к	3	4
53	и о	5	4
54	хотя и	3	4
55	в нем	15	4
56	дело в	2	4
57	ничего не	6	4
58	в другом	2	4
59	связи с	2	4
60	и с	17	4
61	не менее	4	3
62	что это	2	3
63	в этих	2	3
64	не является	3	3
65	вообще не	7	3
66	оно не	3	3
67	ни в	11	3
68	у нас	2	3
69	но это	3	3
70	в начале	2	3
71	но не	12	3
72	одной из	3	3
73	например в	3	3
74	и именно	2	3
75	никогда не	5	3
76	и даже	3	3
77	материала для	2	3
78	другой стороны	4	3
79	самом деле	6	3
80	как в	4	3
81	в их	10	3
82	т п	13	3
83	не было	2	3
84	тем что	2	3
85	на самом	4	3
86	и он	2	3
87	хотя бы	4	3
88	его не	2	3
89	и здесь	2	3
90	в россии	2	3
91	что эта	2	3
92	но они	4	2
93	с его	2	2
94	ни было	3	2
95	и более	2	2
96	и другие	2	2
97	если бы	3	2
98	и др	8	2
99	в них	5	2
100	в какой	2	2
101	связь с	3	2
102	на произведение	3	2
103	только по	4	2
104	в тех	3	2
105	что и	2	2
106	к своему	2	2
107	о которых	2	2
108	тем не	3	2
109	его как	3	2
110	в ее	4	2
111	по существу	2	2
112	как и	7	2
113	то ни	3	2
114	и как	8	2
115	в истории	2	2
116	в то	4	2
117	не дает	2	2
118	случае не	2	2
119	несмотря на	3	2
120	может быть	26	2
121	том же	2	2
122	и потому	4	2
123	искусства и	3	2
124	на то	2	2
125	на почве	3	2
126	нет и	3	2
127	только в	13	2
128	не могли	2	2
129	бы то	3	2
130	не к	6	2
131	также и	3	2
132	в некоторых	2	2
133	ни с	2	2
134	совершенно не	7	2
135	не на	5	2
136	не может	27	2
137	в особенности	2	2
138	то же	5	2
139	все эти	5	2
140	при этом	5	2
141	там где	6	2
142	в отличие	5	2
143	они не	3	2
144	в значительной	2	2
145	не имеет	9	2
146	с точки	6	2
147	особенно в	2	2
148	и те	2	2
149	а к	2	2
150	в данном	4	2
151	конечно и	4	2
152	сказать что	4	2
153	языка в	3	2
154	в себе	4	2
155	и вообще	2	2
156	его в	9	2
157	и это	3	2
158	и вся	2	2
159	как это	2	2
160	отличие от	5	2
161	отметить что	7	2
162	в области	11	2
