N	2gram	Losev_Prob_3	Hudozhes
1	в качестве	3	19
2	то есть	34	18
3	и не	35	16
4	в том	21	15
5	и в	44	15
6	не только	14	15
7	в частности	2	13
8	может быть	28	13
9	при этом	4	12
10	а в	5	12
11	и его	5	12
12	но не	3	11
13	в этом	17	11
14	в себе	8	11
15	как бы	9	10
16	но и	10	10
17	так и	10	10
18	то же	13	10
19	а не	18	10
20	такого рода	6	9
21	в его	9	9
22	точки зрения	5	9
23	себя в	2	8
24	его внешней	2	8
25	с другой	7	7
26	или иной	8	7
27	в отличие	2	7
28	в искусстве	4	7
29	в то	9	7
30	отличие от	3	7
31	но в	12	7
32	в основе	2	6
33	что в	8	6
34	в ее	4	6
35	том что	12	6
36	не в	13	6
37	не может	7	6
38	могут быть	2	5
39	можно сказать	6	5
40	а также	4	5
41	ни в	8	5
42	только в	19	5
43	тем самым	5	5
44	в самом	3	5
45	того что	8	5
46	той или	12	5
47	в нем	9	5
48	с ее	2	5
49	то что	23	5
50	другой стороны	5	5
51	в их	2	5
52	уже не	7	5
53	в этих	2	4
54	не столько	2	4
55	прежде всего	3	4
56	к тому	3	4
57	а только	5	4
58	и как	3	4
59	в другом	2	4
60	для него	3	4
61	еще не	5	4
62	хотя и	5	4
63	он не	8	4
64	и тем	9	4
65	в своей	5	4
66	отношения к	3	4
67	в слове	2	4
68	и то	14	4
69	сказать что	16	4
70	мы имеем	2	4
71	говорить о	3	4
72	как это	2	4
73	художественного произведения	14	3
74	не менее	10	3
75	если бы	3	3
76	однако в	2	3
77	в отношении	2	3
78	это не	9	3
79	или иного	3	3
80	что он	9	3
81	в стихотворении	2	3
82	и к	6	3
83	тем не	10	3
84	по своему	2	3
85	того же	2	3
86	одно и	3	3
87	о чем	2	3
88	того или	6	3
89	однако если	3	3
90	художественности и	3	3
91	как раз	8	3
92	человеческой жизни	2	3
93	в целом	6	3
94	таким образом	9	3
95	и состоит	2	3
96	как и	10	3
97	в той	3	3
98	и что	7	3
99	с точки	2	3
100	во всей	3	3
101	и для	2	3
102	в таком	5	3
103	потому что	25	3
104	и ее	3	3
105	в данном	9	3
106	его в	3	3
107	в художественном	3	3
108	в которой	2	3
109	в виду	10	3
110	сама по	8	2
111	в порядке	3	2
112	и более	2	2
113	таком случае	4	2
114	ни к	3	2
115	в контексте	2	2
116	в нашем	5	2
117	тому что	4	2
118	в своем	5	2
119	или даже	5	2
120	и особенно	2	2
121	вовсе не	37	2
122	по себе	25	2
123	только о	3	2
124	об этом	3	2
125	о его	2	2
126	при условии	2	2
127	это тоже	2	2
128	тем более	3	2
129	с самим	3	2
130	есть в	3	2
131	с их	2	2
132	случае не	3	2
133	и сам	5	2
134	никто не	2	2
135	за пределы	5	2
136	во всех	2	2
137	и о	5	2
138	ни для	2	2
139	и потому	7	2
140	не является	11	2
141	для себя	2	2
142	дело не	2	2
143	образом и	2	2
144	художественное произведение	8	2
145	как в	5	2
146	а именно	8	2
147	слова как	2	2
148	здесь не	8	2
149	собственно говоря	5	2
150	а с	2	2
151	и притом	4	2
152	с одной	2	2
153	именно в	2	2
154	все эти	7	2
155	это и	7	2
156	от себя	2	2
157	этого термина	2	2
158	и больше	3	2
159	из которых	2	2
160	и по	2	2
161	или в	4	2
162	так же	5	2
163	с ним	7	2
164	с другими	3	2
165	языкового знака	3	2
166	определенным образом	2	2
167	но как	4	2
168	в этой	3	2
169	о том	6	2
170	жизни но	2	2
171	и это	9	2
172	из этого	3	2
173	всей его	2	2
174	в чем	4	2
