N	2gram	Savitsky_P_1	Narrotol
1	не только	17	26
2	а не	2	17
3	но и	6	15
4	в том	9	14
5	в качестве	9	14
6	и не	12	14
7	том что	4	13
8	и в	14	13
9	в этом	10	13
10	в частности	2	11
11	только в	7	11
12	может быть	5	10
13	сводится к	3	9
14	а в	4	9
15	то что	4	8
16	в себе	3	8
17	не может	4	8
18	не в	5	8
19	в своем	4	6
20	в жизни	2	6
21	прежде всего	3	6
22	и к	4	6
23	вслед за	3	6
24	того что	2	6
25	в его	2	6
26	со стороны	2	6
27	как бы	4	6
28	а также	4	6
29	но в	9	6
30	точки зрения	3	5
31	не столько	2	5
32	одной стороны	3	5
33	хотя и	3	5
34	в котором	4	5
35	и тем	2	5
36	в нем	3	5
37	с одной	3	5
38	тем самым	3	5
39	с другой	5	5
40	в то	7	5
41	не менее	2	4
42	если бы	4	4
43	отнюдь не	2	4
44	же в	4	4
45	что в	4	4
46	не к	2	4
47	в ее	2	4
48	то же	9	4
49	в мире	2	4
50	в силу	2	4
51	это не	3	3
52	да и	2	3
53	одна из	2	3
54	но не	3	3
55	же время	7	3
56	как раз	2	3
57	с ними	3	3
58	никак не	2	3
59	между тем	3	3
60	хотя бы	8	2
61	столь же	3	2
62	но также	4	2
63	для нас	2	2
64	и т	3	2
65	в начале	2	2
66	тем более	2	2
67	было бы	6	2
68	мысль о	2	2
69	начала и	2	2
70	хх века	2	2
71	именно в	2	2
72	быть может	6	2
73	более чем	2	2
74	с точки	3	2
75	как на	2	2
76	мы не	3	2
77	исключительно в	2	2
78	в ней	6	2
79	в виде	2	2
80	говорить о	2	2
81	потому что	3	2
82	в области	11	2
83	церкви и	2	2
