N	2gram	Bakhtin_Pr_1	Vvedenie
1	и т	14	42
2	и в	38	32
3	в том	8	31
4	в этом	15	30
5	может быть	26	26
6	том что	3	26
7	не только	9	22
8	для того	2	21
9	того чтобы	2	20
10	таким образом	10	19
11	также и	3	18
12	то что	8	16
13	не может	27	14
14	в самом	7	13
15	в нем	15	13
16	о том	4	13
17	того что	2	12
18	в их	10	12
19	и не	42	12
20	в его	43	12
21	только в	13	12
22	как мы	7	11
23	ясно что	3	11
24	и именно	2	11
25	в ее	4	11
26	в данном	4	11
27	что в	7	10
28	но в	4	9
29	и как	8	9
30	в истории	2	9
31	между тем	7	9
32	этом смысле	3	9
33	то же	5	9
34	не менее	4	8
35	с другой	7	8
36	это не	5	8
37	а только	2	8
38	тем не	3	8
39	не в	7	8
40	прежде всего	13	7
41	точки зрения	8	7
42	в применении	3	7
43	о котором	2	7
44	но не	12	7
45	было бы	8	7
46	все же	6	7
47	как нечто	3	7
48	дело с	6	7
49	самом деле	6	7
50	можно было	4	7
51	только как	6	7
52	не могут	2	6
53	смысле слова	2	6
54	же время	3	6
55	но и	9	6
56	все это	3	6
57	применении к	3	6
58	и даже	3	6
59	в то	4	6
60	его в	9	6
61	вовсе не	2	6
62	как и	7	6
63	хотя бы	4	6
64	и его	16	6
65	тем что	2	6
66	и это	3	6
67	в какой	2	5
68	как бы	22	5
69	и тем	3	5
70	в целом	3	5
71	а как	3	5
72	данном случае	4	5
73	другой стороны	4	5
74	имеет дело	9	5
75	сказать что	4	5
76	в них	5	5
77	на почве	3	5
78	не есть	6	5
79	т п	13	5
80	а не	5	5
81	что не	4	5
82	могут быть	5	5
83	независимо от	13	4
84	в каждом	2	4
85	одной стороны	3	4
86	в котором	2	4
87	здесь нет	2	4
88	по отношению	21	4
89	в особенности	2	4
90	этом отношении	2	4
91	с одной	3	4
92	и что	2	4
93	не имеет	9	4
94	а в	6	4
95	как это	2	4
96	мы имеем	2	4
97	что он	2	4
98	еще не	7	4
99	об искусстве	3	4
100	отношению к	19	4
101	в своей	7	4
102	в виде	2	4
103	и для	11	4
104	и ее	2	4
105	в себе	4	4
106	что это	2	3
107	и есть	2	3
108	в частности	2	3
109	в этих	2	3
110	вообще не	7	3
111	можно сказать	2	3
112	да и	3	3
113	в строгом	2	3
114	в известной	3	3
115	только по	4	3
116	на этом	2	3
117	при этом	5	3
118	хотя и	3	3
119	в ней	4	3
120	в конечном	4	3
121	не вполне	2	3
122	в виду	4	3
123	к нему	10	3
124	отношение к	10	3
125	в своем	5	3
126	все эти	5	3
127	и других	2	3
128	этой области	2	3
129	и на	3	3
130	языка в	3	3
131	говорить о	3	3
132	в начале	2	3
133	если бы	3	3
134	этой науки	2	3
135	к этому	2	3
136	и к	3	3
137	здесь все	2	3
138	связи с	2	3
139	строгом смысле	2	3
140	в чем	2	3
141	чем в	2	3
142	одной из	3	3
143	об отдельных	2	3
144	должен быть	2	3
145	что и	2	3
146	дело в	2	3
147	но с	3	3
148	и вообще	2	3
149	или как	3	3
150	в области	11	3
151	как только	3	2
152	должна быть	4	2
153	и другие	2	2
154	к действительности	3	2
155	никогда не	5	2
156	или иной	2	2
157	не нужно	5	2
158	но зато	2	2
159	момента в	2	2
160	в дальнейшем	3	2
161	своего содержания	2	2
162	но это	3	2
163	в работах	2	2
164	несмотря на	3	2
165	и др	8	2
166	не к	6	2
167	природы и	3	2
168	в форме	4	2
169	в связи	2	2
170	не было	2	2
171	с помощью	7	2
172	произведения и	2	2
173	действительности в	2	2
174	есть только	2	2
175	должно быть	5	2
176	и те	2	2
177	рядом с	5	2
178	не следует	2	2
179	в более	4	2
180	и с	17	2
181	нуждается в	2	2
182	той или	2	2
183	и здесь	2	2
184	же самое	2	2
185	искусства и	3	2
186	и должно	3	2
187	так и	5	2
188	ни к	2	2
189	следует что	2	2
190	художественных произведений	2	2
191	есть не	2	2
192	не с	4	2
193	о которых	2	2
194	у нас	2	2
195	по существу	2	2
196	и при	2	2
197	во всех	11	2
198	мы должны	2	2
199	ни одна	2	2
200	ни с	2	2
201	том же	2	2
202	человеческой культуры	6	2
203	для нее	8	2
204	входит в	8	2
205	язык в	2	2
206	в значительной	2	2
207	из которых	2	2
208	между ними	4	2
209	с точки	6	2
210	есть лишь	3	2
211	мы можем	6	2
212	в другом	2	2
213	познания и	30	2
214	здесь не	4	2
215	одна из	2	2
216	ничего не	6	2
217	не могли	2	2
