N	2gram	Ircho_Kome_3	Analitik
1	в этом	8	18
2	в частности	3	16
3	и в	22	16
4	не только	5	16
5	так и	4	15
6	как и	3	14
7	в том	12	12
8	но и	4	12
9	и не	21	12
10	том что	13	12
11	в качестве	2	11
12	как бы	3	10
13	при этом	7	10
14	а не	4	10
15	в пределах	2	9
16	и даже	3	9
17	в этой	3	9
18	ничего не	3	9
19	отнюдь не	4	8
20	состоит в	2	8
21	в целом	3	8
22	представляет собой	3	8
23	всего лишь	2	8
24	к тому	6	7
25	в себе	4	7
26	то что	4	7
27	о том	8	7
28	а также	2	7
29	с другой	4	6
30	в самом	9	6
31	в мире	2	6
32	и на	2	6
33	говорить о	3	6
34	может быть	6	6
35	как это	5	6
36	но в	5	6
37	и к	3	5
38	с одной	3	5
39	на себя	4	5
40	не менее	5	4
41	в своем	8	4
42	столь же	3	4
43	в конце	7	4
44	у него	4	4
45	о его	2	4
46	этом случае	2	4
47	тому же	6	4
48	не в	4	4
49	за пределы	2	4
50	того же	6	4
51	одной стороны	3	4
52	в сущности	2	4
53	и особенно	2	4
54	не с	2	4
55	отношению к	3	4
56	во всех	2	4
57	как в	2	4
58	все это	5	4
59	как раз	6	4
60	по отношению	5	4
61	не может	3	4
62	и его	6	4
63	то же	7	4
64	не так	3	4
65	хотя и	5	4
66	точки зрения	4	4
67	никогда не	3	3
68	что касается	2	3
69	одного из	3	3
70	прежде всего	5	3
71	при всей	2	3
72	одной из	3	3
73	тем не	3	3
74	его от	2	3
75	не мог	2	3
76	так что	6	3
77	было бы	3	3
78	и сам	5	3
79	несмотря на	4	3
80	и если	2	3
81	на его	2	3
82	что и	8	3
83	из них	5	3
84	со стороны	11	3
85	в их	2	3
86	приводит к	3	3
87	если бы	8	3
88	этом отношении	2	3
89	не знает	3	3
90	можно было	2	3
91	а в	7	3
92	как мы	2	3
93	в результате	2	3
94	тем что	5	3
95	бы в	4	3
96	едва ли	7	3
97	в конечном	2	3
98	и все	2	3
99	а как	2	2
100	речь идет	5	2
101	перед лицом	2	2
102	в одном	2	2
103	к этому	6	2
104	вовсе не	4	2
105	и я	2	2
106	на то	3	2
107	к своему	2	2
108	конечном счете	2	2
109	он был	4	2
110	а затем	2	2
111	отличие от	2	2
112	по существу	2	2
113	из его	2	2
114	все что	3	2
115	же время	5	2
116	что в	5	2
117	что с	2	2
118	она не	2	2
119	еще не	6	2
120	о чем	7	2
121	в своей	5	2
122	не о	3	2
123	в котором	2	2
124	один из	3	2
125	вместе с	9	2
126	дело не	2	2
127	на него	4	2
128	что она	4	2
129	ли не	2	2
130	не позволяет	3	2
131	другой стороны	2	2
132	отношения к	2	2
133	таким образом	12	2
134	т е	16	2
135	за пределами	2	2
136	в двух	3	2
137	на этот	3	2
138	и он	2	2
139	не имеет	3	2
140	и для	4	2
141	с точки	3	2
142	так же	4	2
143	роль в	2	2
144	в таком	2	2
145	между тем	2	2
146	и во	2	2
147	он не	5	2
148	он и	2	2
149	в то	6	2
150	в его	8	2
151	его в	8	2
152	представляют собой	2	2
153	с ним	5	2
