N	2gram	Berdyaev_N_1	Tvorches
1	и в	16	21
2	в то	2	15
3	времени в	2	13
4	что в	9	12
5	как и	7	12
6	с его	6	11
7	том что	2	11
8	все это	5	10
9	как в	3	8
10	он не	8	8
11	то что	4	8
12	у него	2	7
13	в том	8	7
14	не только	5	7
15	и не	11	7
16	и на	2	7
17	но в	2	7
18	жизни в	3	6
19	и все	4	6
20	не менее	4	6
21	а в	2	6
22	в этом	7	6
23	xix века	5	6
24	о том	4	6
25	а не	17	5
26	но это	6	5
27	может быть	7	5
28	хотя бы	2	5
29	потому что	4	5
30	как будто	2	5
31	человека и	3	4
32	прежде всего	4	4
33	в мире	3	4
34	времени и	2	4
35	не имеют	2	4
36	в своей	3	4
37	мысли и	2	4
38	не может	16	4
39	это не	4	4
40	и от	2	4
41	не существует	3	3
42	место в	2	3
43	никогда не	6	3
44	с другой	3	3
45	что все	2	3
46	я не	2	3
47	с ее	5	3
48	это и	2	3
49	но не	2	3
50	в нем	5	3
51	жизни и	8	3
52	но и	3	3
53	который в	2	3
54	уже не	2	3
55	и даже	2	3
56	вот почему	2	3
57	так же	2	3
58	и с	2	3
59	хотя и	2	3
60	в россии	3	3
61	на протяжении	2	3
62	стремится к	3	3
63	в основе	3	2
64	такой же	2	2
65	зависит от	2	2
66	стремление к	2	2
67	в жизни	5	2
68	не в	6	2
69	бога и	3	2
70	быть может	4	2
71	одна из	2	2
72	к тому	3	2
73	в ней	5	2
74	в духе	3	2
75	наше время	4	2
76	не будет	7	2
77	вместе с	2	2
78	но она	2	2
79	к жизни	3	2
80	так и	2	2
81	в наше	3	2
82	не во	4	2
83	что она	2	2
84	не означает	3	2
85	свободы и	2	2
86	сказать что	3	2
87	могут быть	2	2
88	во имя	15	2
89	в себе	2	2
90	не знает	6	2
91	более не	2	2
92	значит что	4	2
