N	2gram	Berdyaev_V_1	Komedia
1	и в	16	22
2	том что	2	12
3	в том	3	11
4	но и	5	11
5	не только	2	10
6	как и	4	9
7	и т	2	9
8	и не	20	8
9	что в	3	6
10	в конце	3	6
11	что он	4	6
12	к тому	3	6
13	ни в	3	6
14	не в	3	6
15	а в	2	6
16	прежде всего	2	5
17	в его	4	5
18	один из	2	5
19	в истории	8	5
20	так и	4	5
21	все это	5	5
22	потому что	4	5
23	между тем	2	5
24	по которым	2	4
25	что они	7	4
26	в котором	4	4
27	в нем	4	4
28	что и	3	4
29	т д	2	4
30	тем что	2	4
31	так как	9	4
32	но в	3	4
33	в них	3	3
34	в образе	4	3
35	тот же	3	3
36	и сам	2	3
37	да и	2	3
38	хотя и	5	3
39	всего в	2	3
40	мы не	2	3
41	в этом	4	3
42	могут быть	2	3
43	только в	2	3
44	и все	4	3
45	в чем	3	3
46	для них	2	2
47	и во	2	2
48	и теперь	2	2
49	а к	2	2
50	одна из	2	2
51	но не	2	2
52	в себя	2	2
53	это еще	4	2
54	еще не	8	2
55	в число	2	2
56	то что	9	2
57	не к	2	2
58	ее в	2	2
59	все что	4	2
60	вслед за	2	2
61	в форме	2	2
62	но это	3	2
63	во всяком	2	2
64	на себя	5	2
65	к людям	6	2
