N	2gram	Medvedev_F_3	Mirosoze
1	может быть	25	30
2	не только	9	29
3	и в	27	28
4	не может	24	28
5	но и	10	25
6	а не	17	25
7	в этом	18	20
8	не в	12	16
9	потому что	7	16
10	переходит в	2	15
11	в ней	5	15
12	в своей	6	15
13	никогда не	5	14
14	человека и	2	14
15	он был	4	14
16	до конца	4	14
17	в нем	15	13
18	человека в	2	13
19	и это	2	12
20	в самом	11	11
21	и не	30	11
22	что в	8	10
23	в своем	2	10
24	был бы	2	10
25	прежде всего	4	10
26	и все	8	10
27	что он	6	10
28	было бы	6	10
29	и потому	5	10
30	с тем	7	9
31	в его	7	9
32	не есть	4	9
33	и его	19	9
34	но не	5	8
35	в котором	2	8
36	в самой	2	7
37	того что	3	7
38	в конце	3	7
39	но в	6	7
40	менее всего	4	7
41	в себе	3	7
42	должна быть	3	6
43	в том	7	6
44	в этой	2	6
45	все это	7	6
46	лишь в	9	6
47	и на	3	6
48	вместе с	6	6
49	только в	8	6
50	не могут	10	5
51	это не	3	5
52	у нас	3	5
53	как и	14	5
54	то что	8	5
55	нет и	3	5
56	уже в	4	4
57	в этих	3	4
58	смысле слова	2	4
59	ни с	2	4
60	отношения к	2	4
61	увидим что	2	4
62	в которых	3	4
63	точки зрения	16	4
64	в них	3	4
65	не как	2	4
66	это и	2	4
67	от него	2	4
68	она не	4	4
69	за пределы	2	4
70	что и	2	4
71	уже не	3	4
72	тем что	5	4
73	к тому	4	3
74	для нас	3	3
75	это значит	2	3
76	но если	2	3
77	в него	3	3
78	и их	5	3
79	этот процесс	3	3
80	его в	7	3
81	так как	9	3
82	и с	3	3
83	на этом	2	3
84	с его	2	3
85	для них	7	3
86	в жизни	11	3
87	в ее	4	3
88	том что	4	3
89	учение о	2	3
90	не знают	2	3
91	ничего не	2	3
92	мы увидим	2	3
93	конечно не	4	3
94	бы и	3	3
95	хотя бы	6	3
96	место в	10	2
97	мы еще	2	2
98	вообще не	2	2
99	и мир	2	2
100	и от	11	2
101	высшей степени	2	2
102	для того	4	2
103	одним из	3	2
104	в виду	3	2
105	жизни и	4	2
106	могут быть	4	2
107	отличается от	2	2
108	по отношению	3	2
109	человека как	2	2
110	все эти	6	2
111	и что	3	2
112	и те	4	2
113	сказать что	3	2
114	он и	3	2
115	в истории	5	2
116	как бы	8	2
117	о том	4	2
118	как он	2	2
119	в россии	2	2
120	не значит	2	2
121	бы в	6	2
122	в основе	3	2
123	если бы	12	2
124	жизни в	3	2
125	в высшей	2	2
126	только один	2	2
127	и во	2	2
128	к этому	2	2
129	они неизбежно	2	2
130	нет никаких	2	2
131	отношению к	3	2
132	литературы и	3	2
133	в то	7	2
134	связано с	2	2
135	о нем	3	2
136	еще в	3	2
137	должен быть	2	2
138	все же	6	2
139	который был	2	2
140	как в	4	2
141	и самый	2	2
142	входит в	8	2
143	бы не	2	2
144	на земле	2	2
145	т е	32	2
146	чтобы не	2	2
147	в той	3	2
148	того чтобы	5	2
149	и как	4	2
150	и для	6	2
151	конце концов	2	2
152	от этого	2	2
153	в каком	2	2
154	на протяжении	2	2
155	от его	3	2
