N	2gram	Propp_Russ_2	Istorich
1	т е	24	29
2	в лес	3	27
3	и т	5	19
4	не только	10	18
5	т д	5	18
6	может быть	13	17
7	в лесу	10	15
8	никогда не	2	15
9	и в	29	15
10	мы имеем	6	15
11	но и	8	14
12	так как	13	14
13	так же	4	13
14	что в	22	12
15	а в	9	12
16	то что	5	12
17	об этом	2	11
18	в этих	3	11
19	в этом	11	11
20	его в	8	10
21	то же	4	10
22	этих случаях	4	10
23	с тем	6	9
24	еще не	6	9
25	все же	2	9
26	потому что	5	9
27	связи с	2	8
28	один из	2	8
29	должны были	2	8
30	том что	22	7
31	и пр	2	7
32	в обряде	6	7
33	вместе с	6	7
34	таким образом	6	7
35	смерти и	2	7
36	не в	4	7
37	видно что	2	6
38	царство мертвых	2	6
39	так что	4	6
40	что это	3	6
41	как бы	18	6
42	что и	2	6
43	и что	5	6
44	мы здесь	2	6
45	в том	22	6
46	но в	5	6
47	с этим	2	5
48	прежде всего	2	5
49	этом случае	6	5
50	как в	7	5
51	она не	3	5
52	было бы	3	5
53	же как	4	5
54	в котором	3	5
55	что она	3	5
56	что при	2	5
57	не может	5	5
58	а не	4	5
59	к нему	4	5
60	можно было	2	5
61	представления о	2	5
62	представляет собой	2	5
63	с одной	2	4
64	и другие	14	4
65	вопрос о	4	4
66	показывает что	8	4
67	для нас	6	4
68	в этой	3	4
69	при этом	6	4
70	или на	8	4
71	но он	3	4
72	руки и	3	4
73	после этого	2	4
74	не будем	3	4
75	дело не	2	4
76	связь с	3	4
77	того как	2	4
78	и с	10	4
79	тем что	3	4
80	и на	6	4
81	что здесь	3	4
82	все эти	3	4
83	в дом	8	3
84	видели что	4	3
85	должен был	3	3
86	в качестве	3	3
87	из этих	2	3
88	здесь имеем	2	3
89	как это	4	3
90	предположить что	4	3
91	д к	3	3
92	одной стороны	2	3
93	что ее	3	3
94	не совсем	2	3
95	должно было	3	3
96	но если	3	3
97	в русских	4	3
98	о том	9	3
99	выше мы	3	3
100	силу и	2	3
101	а именно	3	3
102	в их	2	3
103	все это	10	3
104	так в	2	3
105	после того	2	3
106	эта связь	2	3
107	того что	3	3
108	право на	2	3
109	мы не	6	3
110	тому как	3	3
111	эти представления	4	3
112	подобно тому	3	3
113	представляют собой	7	3
114	в других	15	3
115	здесь мы	2	3
116	во время	12	2
117	не было	2	2
118	на другой	2	2
119	могут быть	2	2
120	леса и	3	2
121	с другой	2	2
122	это не	5	2
123	не столько	2	2
124	представление о	5	2
125	на самом	2	2
126	главным образом	3	2
127	мы рассмотрим	4	2
128	а затем	4	2
129	в новой	2	2
130	именно в	4	2
131	по существу	4	2
132	как и	11	2
133	мы видели	7	2
134	в земле	4	2
135	одна из	11	2
136	но не	5	2
137	в глаза	2	2
138	одно из	2	2
139	здесь в	2	2
140	не что	2	2
141	кроме того	2	2
142	того чтобы	6	2
143	эти обряды	5	2
144	и для	2	2
145	из леса	7	2
146	а также	4	2
147	не все	4	2
148	также в	2	2
149	ее в	8	2
150	из них	4	2
151	во всех	3	2
152	в некоторых	9	2
153	в свете	3	2
154	а с	2	2
155	этих обрядов	4	2
156	живет в	3	2
157	когда мы	2	2
158	отправляется в	2	2
159	силе огня	2	2
160	к таким	2	2
161	не говорится	2	2
162	магическую силу	2	2
163	и по	3	2
164	к зеленин	3	2
165	или в	7	2
166	с другими	3	2
167	и то	2	2
168	в которых	4	2
169	мнение что	2	2
170	также что	2	2
171	этого обряда	2	2
172	в руки	2	2
173	к ней	2	2
174	состоит в	15	2
175	и ее	2	2
176	под названием	2	2
177	что иное	2	2
178	в таких	3	2
179	будто бы	5	2
180	на нее	6	2
181	их в	4	2
182	заметить что	2	2
183	в которой	2	2
184	в него	2	2
185	иное как	2	2
186	в эту	3	2
187	бросают в	3	2
188	в виду	2	2
