N	2gram	Vygotskiy__3	NovoeSre
1	не может	6	16
2	и в	25	16
3	и не	10	11
4	что в	17	9
5	он не	4	8
6	в том	23	8
7	не будет	2	7
8	как и	15	7
9	в этом	14	7
10	может быть	13	7
11	с его	2	6
12	никогда не	4	6
13	в высшей	6	6
14	не в	6	6
15	высшей степени	6	6
16	но это	5	6
17	ни в	9	6
18	в нем	2	5
19	все это	6	5
20	в жизни	3	5
21	с ее	5	5
22	и к	5	5
23	не только	6	5
24	не менее	6	4
25	то что	15	4
26	в них	2	4
27	и все	4	4
28	и для	2	4
29	должно быть	2	4
30	потому что	6	4
31	по своему	11	4
32	прежде всего	4	4
33	о том	5	4
34	значит что	4	4
35	и потому	2	4
36	к жизни	2	3
37	но и	4	3
38	не есть	3	3
39	в своей	2	3
40	с другой	6	3
41	человека и	5	3
42	эти формы	2	3
43	к тому	4	3
44	в мире	2	3
45	в основе	16	3
46	с тем	16	3
47	смысле слова	2	3
48	как в	9	3
49	еще не	4	3
50	тому как	2	3
51	наряду с	3	3
52	сказать что	4	3
53	в новое	2	3
54	все время	2	2
55	место в	2	2
56	самый процесс	2	2
57	вместе с	14	2
58	все они	2	2
59	так и	5	2
60	что она	5	2
61	для этого	2	2
62	который в	3	2
63	другой стороны	3	2
64	и от	2	2
65	а в	4	2
66	к образованию	8	2
67	с одной	5	2
68	этом смысле	2	2
69	все эти	7	2
70	уже не	2	2
71	того чтобы	8	2
72	одной стороны	5	2
73	но не	6	2
74	так же	17	2
75	время как	4	2
76	мы не	9	2
77	том что	20	2
78	в смысле	4	2
79	можно было	6	2
80	связаны с	3	2
81	же как	6	2
82	одна из	2	2
83	и что	10	2
84	и заключается	2	2
85	могут быть	5	2
86	с этим	4	2
87	и на	6	2
88	в себе	2	2
89	с их	2	2
90	в то	4	2
91	и это	4	2
92	такого рода	2	2
93	как это	7	2
94	не могли	3	2
95	хотя и	2	2
