N	2gram	Berdyaev_V_1	Problema
1	и не	20	28
2	не только	2	24
3	только в	2	23
4	в том	3	20
5	и в	16	20
6	ни в	3	17
7	все эти	3	16
8	то что	9	15
9	потому что	4	15
10	но и	5	14
11	не в	3	13
12	не есть	6	12
13	том что	2	12
14	прежде всего	2	11
15	так и	4	10
16	все это	5	9
17	в этом	4	9
18	что он	4	8
19	во всяком	2	8
20	и все	4	8
21	но в	3	8
22	это не	2	7
23	еще не	8	7
24	мы не	2	7
25	и потому	7	7
26	а не	7	7
27	в ней	4	7
28	хотя бы	3	7
29	для нас	2	6
30	как и	4	6
31	но это	3	6
32	но не	2	5
33	хотя и	5	5
34	в нем	4	5
35	да и	2	5
36	жизни и	3	5
37	в них	3	5
38	так как	9	5
39	уже не	2	5
40	в этих	3	5
41	с тем	2	4
42	и есть	4	4
43	и для	3	4
44	и во	2	4
45	в своей	3	4
46	как бы	5	4
47	не имеет	3	4
48	и т	2	4
49	во всех	3	4
50	а в	2	4
51	что не	4	4
52	можно было	2	4
53	с ним	2	4
54	к тому	3	3
55	если не	3	3
56	в жизни	3	3
57	для него	2	3
58	в истории	8	3
59	конечно не	2	3
60	в его	4	3
61	не так	2	3
62	то это	3	3
63	что и	3	3
64	что в	3	3
65	бы и	3	3
66	т д	2	3
67	не было	3	3
68	все равно	2	3
69	что мы	4	3
70	тем что	2	3
71	нет ничего	3	3
72	верит в	2	2
73	о великом	4	2
74	до того	2	2
75	по этому	3	2
76	что во	3	2
77	в конце	3	2
78	с его	3	2
79	нет и	2	2
80	что они	7	2
81	они и	2	2
82	для них	2	2
83	тот же	3	2
84	в котором	4	2
85	не могли	2	2
86	не будет	2	2
87	не к	2	2
88	не хотел	2	2
89	и тогда	2	2
90	на земле	7	2
91	и что	3	2
92	того чтобы	2	2
93	говорить о	4	2
94	и то	2	2
95	за ним	3	2
96	и это	2	2
97	это все	2	2
98	в чем	3	2
