N	2gram	Kanaev_Sov_1	Problema
1	и не	6	37
2	и в	7	35
3	не только	4	24
4	может быть	12	18
5	у нас	3	18
6	что такое	2	18
7	в этом	7	17
8	в настоящее	2	16
9	настоящее время	2	16
10	такого рода	2	15
11	не менее	2	13
12	и что	2	13
13	во всяком	2	13
14	не может	17	13
15	тем не	2	12
16	в том	4	12
17	что в	2	11
18	прежде всего	5	11
19	и даже	2	11
20	в таком	2	11
21	всяком случае	2	10
22	говорить о	2	10
23	еще не	3	10
24	а не	3	10
25	ничего не	6	10
26	если мы	4	9
27	для нас	3	9
28	в этой	3	9
29	что же	5	9
30	уже не	2	8
31	было бы	3	8
32	ясно что	3	8
33	все же	3	8
34	в конце	3	7
35	все эти	5	7
36	в его	2	7
37	так как	4	7
38	мы не	9	7
39	что все	2	6
40	когда мы	3	6
41	же самое	2	6
42	мы можем	6	6
43	в виде	2	6
44	но в	3	6
45	в области	3	6
46	или иной	2	5
47	же это	4	5
48	тот или	2	5
49	в самом	2	5
50	отнюдь не	3	5
51	с этим	2	5
52	с одной	2	5
53	между собой	3	5
54	и все	3	5
55	как и	6	5
56	то же	3	5
57	как мы	2	5
58	в себе	3	5
59	не могут	2	4
60	и есть	2	4
61	не можем	7	4
62	как бы	4	4
63	значение в	2	4
64	что она	3	4
65	все это	3	4
66	таким образом	11	4
67	а в	4	4
68	в результате	6	4
69	их в	4	4
70	что при	2	4
71	тот же	2	4
72	не будем	2	4
73	самом деле	2	4
74	то и	2	4
75	которой он	2	4
76	уже в	3	3
77	каждый раз	6	3
78	в нашем	2	3
79	говорить об	2	3
80	из этих	2	3
81	вопрос о	4	3
82	только один	2	3
83	но мы	3	3
84	в целом	4	3
85	как угодно	2	3
86	о значении	2	3
87	то ни	2	3
88	при этом	3	3
89	и наконец	5	3
90	в науке	2	3
91	и по	2	3
92	мы должны	4	3
93	говорим о	2	3
94	и к	3	3
95	одна из	3	3
96	нет и	4	3
97	если же	2	3
98	не знаем	2	3
99	с самого	3	3
100	самого начала	3	2
101	не в	3	2
102	но все	2	2
103	в и	2	2
104	и мы	3	2
105	из которых	2	2
106	в зависимости	4	2
107	на этой	3	2
108	при таком	3	2
109	отличается от	3	2
110	в системе	3	2
111	этим мы	3	2
112	может иметь	2	2
113	точки зрения	12	2
114	же мы	2	2
115	в условиях	5	2
116	зависимости от	4	2
117	ли мы	3	2
118	ведь это	3	2
119	вместе с	4	2
120	быть и	2	2
121	совершенно не	2	2
122	еще более	2	2
123	той же	2	2
124	роль в	2	2
125	состоит из	3	2
126	это за	2	2
