N	2gram	Losev_Vlad_1	PoTuStor
1	может быть	6	17
2	и в	31	16
3	таким образом	3	9
4	в этом	14	9
5	совершенно не	2	8
6	и его	7	8
7	и с	14	8
8	точки зрения	2	8
9	не может	6	8
10	с его	11	7
11	сказать что	7	7
12	не только	24	7
13	и это	2	6
14	и к	6	6
15	для него	7	6
16	при этом	2	6
17	конечно не	2	6
18	отношение к	3	5
19	все эти	3	5
20	что такое	2	5
21	в чем	2	5
22	ни в	2	5
23	еще не	2	5
24	в нем	4	4
25	отнюдь не	3	4
26	но и	19	4
27	так и	6	4
28	все это	5	4
29	хотя бы	2	4
30	и все	4	4
31	мысли и	4	4
32	так как	8	4
33	и не	17	4
34	как мы	9	4
35	но мы	2	4
36	можно сказать	6	4
37	и даже	15	4
38	с ними	2	4
39	и на	3	4
40	в этой	4	4
41	все что	2	4
42	только в	9	4
43	но в	12	4
44	в его	12	4
45	во время	3	3
46	и теперь	4	3
47	мы знаем	2	3
48	что в	14	3
49	жизни и	5	3
50	вместе с	3	3
51	даже не	2	3
52	чем не	2	3
53	к себе	2	3
54	этом смысле	4	3
55	и вот	3	3
56	учение о	2	3
57	и притом	3	3
58	в том	11	3
59	а в	9	3
60	том что	14	3
61	и как	4	3
62	то что	18	3
63	на этом	2	3
64	только на	3	3
65	в общем	3	3
66	тех же	2	3
67	едва ли	3	3
68	как это	7	3
69	во всяком	2	3
70	и потому	6	3
71	всяком случае	2	3
72	не менее	2	2
73	это делает	2	2
74	нет и	2	2
75	один из	4	2
76	что и	5	2
77	в частности	2	2
78	никогда не	9	2
79	в них	2	2
80	того же	6	2
81	и так	3	2
82	из этих	2	2
83	в жизни	3	2
84	в свое	5	2
85	то же	6	2
86	и через	3	2
87	к этому	6	2
88	и других	2	2
89	что он	12	2
90	что на	2	2
91	что мы	2	2
92	на первый	2	2
93	у него	15	2
94	в науке	3	2
95	и по	8	2
96	но зато	2	2
97	и для	2	2
98	для нас	4	2
99	в этот	4	2
100	как и	4	2
101	своей жизни	2	2
102	но это	3	2
103	не существовало	2	2
104	мы уже	7	2
105	совсем не	4	2
106	по своему	3	2
107	знаем что	2	2
108	он не	10	2
109	в каком	2	2
110	всю жизнь	3	2
111	в начале	3	2
112	и вообще	4	2
113	было бы	2	2
114	кажется что	2	2
115	и мы	2	2
116	о том	11	2
117	в самом	2	2
118	но как	5	2
119	за пределы	3	2
120	в своей	4	2
121	и о	2	2
122	с ним	5	2
123	почти не	2	2
124	всей жизни	3	2
125	и действительно	3	2
126	для меня	4	2
