N	2gram	Losev_Prob_1	Tragedij
1	и в	32	18
2	в этом	19	9
3	не только	17	8
4	он сам	2	7
5	и не	31	7
6	и на	8	7
7	и с	2	7
8	может быть	14	7
9	как бы	14	7
10	что он	7	6
11	и его	3	6
12	но в	14	6
13	что это	3	5
14	так и	12	5
15	это не	6	5
16	не может	8	5
17	то же	10	5
18	в дальнейшем	4	5
19	как и	3	5
20	он вдруг	2	5
21	в то	6	5
22	несмотря на	3	5
23	но и	9	4
24	то что	42	4
25	что в	12	4
26	он всегда	3	4
27	все это	7	4
28	прежде всего	10	4
29	и все	7	4
30	в нем	13	4
31	и даже	11	4
32	так же	9	4
33	том что	12	4
34	но это	8	4
35	в этой	10	4
36	и что	9	4
37	в себе	15	4
38	еще не	9	4
39	об этом	10	4
40	что вы	3	3
41	уже в	3	3
42	один из	4	3
43	о чем	6	3
44	отнюдь не	10	3
45	в своем	5	3
46	в конце	6	3
47	как в	4	3
48	все эти	8	3
49	тем самым	4	3
50	и как	6	3
51	к нему	3	3
52	должно быть	2	3
53	в его	6	3
54	для него	2	3
55	при этом	6	3
56	как будто	3	3
57	как это	6	3
58	с ним	3	3
59	то есть	33	3
60	не имеет	2	2
61	перед нами	5	2
62	и до	2	2
63	от всего	3	2
64	не могут	2	2
65	как же	3	2
66	раз и	9	2
67	данном случае	8	2
68	то и	6	2
69	даже если	4	2
70	что все	3	2
71	не просто	23	2
72	этого романа	2	2
73	уже не	3	2
74	с его	2	2
75	к тому	3	2
76	о его	2	2
77	и здесь	6	2
78	ни в	7	2
79	в ее	3	2
80	в том	9	2
81	говорит о	3	2
82	но все	3	2
83	так что	6	2
84	в таком	9	2
85	не в	4	2
86	что этот	2	2
87	точно так	4	2
88	в данном	9	2
89	и то	6	2
90	потому что	16	2
91	в первом	2	2
92	с тем	5	2
93	тем что	7	2
94	в виде	15	2
95	он и	8	2
96	и ее	8	2
97	по поводу	4	2
98	в это	2	2
99	о том	11	2
100	его в	6	2
101	и это	9	2
102	в самом	6	2
103	ничего не	10	2
104	он не	3	2
105	что она	5	2
106	никогда не	7	2
