N	2gram	Potebnia_M_2	Morfolog
1	может быть	23	52
2	и т	6	49
3	т д	3	47
4	таким образом	11	20
5	не может	12	17
6	в этих	3	16
7	могут быть	8	15
8	с этим	7	14
9	и в	24	13
10	в этом	8	13
11	так как	10	12
12	мы видим	2	11
13	связи с	6	11
14	заметить что	6	10
15	прежде всего	7	9
16	так и	5	9
17	в связи	2	9
18	то же	12	9
19	и не	19	9
20	а не	18	9
21	с другой	6	8
22	что и	11	8
23	вопрос о	2	7
24	но если	2	7
25	все же	5	7
26	или же	7	7
27	это не	3	6
28	не могут	7	6
29	и здесь	2	6
30	в том	18	6
31	но не	12	6
32	а в	8	6
33	во время	4	6
34	подобно тому	4	6
35	не менее	5	5
36	тому как	4	5
37	если мы	3	5
38	вслед за	3	5
39	во всех	7	5
40	далеко не	3	5
41	как бы	9	5
42	не все	2	5
43	один из	2	5
44	то что	20	5
45	образом мы	2	5
46	или в	2	5
47	потому что	49	5
48	мы не	11	5
49	и затем	2	4
50	что в	16	4
51	и как	6	4
52	вовсе не	9	4
53	что его	3	4
54	тем не	6	4
55	было бы	13	4
56	не только	15	4
57	то это	3	4
58	в некоторых	4	4
59	как в	10	4
60	другой стороны	2	4
61	так же	2	4
62	по отношению	2	4
63	как и	7	4
64	там где	4	4
65	то мы	2	4
66	хотя и	3	4
67	тем что	7	4
68	могла бы	3	4
69	на этом	2	4
70	его в	3	4
71	если в	3	4
72	оно может	2	4
73	в других	4	4
74	только что	3	3
75	в животных	4	3
76	независимо от	9	3
77	если бы	11	3
78	а то	2	3
79	в нашем	2	3
80	в какой	2	3
81	же в	5	3
82	том что	8	3
83	но все	2	3
84	но это	3	3
85	что они	5	3
86	в целом	3	3
87	того чтобы	2	3
88	но и	9	3
89	на него	3	3
90	от того	5	3
91	на самом	2	3
92	самом деле	2	3
93	и по	2	3
94	и для	3	3
95	друг друга	2	3
96	можно назвать	2	3
97	мы можем	12	3
98	из них	5	3
99	в то	6	3
100	быть названо	2	3
101	мы должны	2	3
102	но в	4	3
103	что ни	2	2
104	совсем не	2	2
105	с тем	4	2
106	хотя бы	2	2
107	точно так	9	2
108	этого не	2	2
109	состоит в	2	2
110	к этому	2	2
111	что он	4	2
112	животных и	2	2
113	в собственном	2	2
114	так например	3	2
115	на другие	6	2
116	не с	3	2
117	в нее	4	2
118	и при	3	2
119	которое может	2	2
120	только в	11	2
121	от него	4	2
122	то время	4	2
123	для него	10	2
124	одной стороны	3	2
125	не от	5	2
126	с теми	2	2
127	себя и	2	2
128	оно не	3	2
129	но эти	2	2
130	где оно	2	2
131	знать что	2	2
132	или менее	8	2
133	есть нечто	3	2
134	и тогда	3	2
135	как например	3	2
136	и только	6	2
137	а а	2	2
138	а с	2	2
139	с одной	4	2
140	все эти	2	2
141	и наоборот	5	2
142	можно заметить	3	2
143	и что	4	2
144	того что	7	2
145	для того	5	2
146	к другой	2	2
147	что такое	2	2
148	уже не	4	2
149	тем же	3	2
150	не имеет	6	2
151	и его	2	2
152	можно бы	2	2
153	в каком	3	2
154	в другом	2	2
155	или не	5	2
156	что мы	11	2
157	или по	2	2
158	или нет	3	2
159	о том	5	2
160	одна из	4	2
161	сказать что	2	2
162	как это	2	2
163	более или	8	2
164	что многие	2	2
165	время как	4	2
166	это было	2	2
