N	3gram	Vygotskiy__5	Komedia
1	до сих пор	3	9
2	в том что	11	9
3	в свою очередь	3	6
4	в самом деле	2	6
5	для того чтобы	14	6
6	с самого начала	5	4
7	о том что	4	4
8	с точки зрения	9	3
9	вместе с тем	2	3
10	то же самое	4	3
11	с одной стороны	3	3
12	по отношению к	12	3
13	о том как	2	3
14	в этом случае	3	2
15	по сравнению с	5	2
16	с другой стороны	2	2
17	в то время	4	2
18	в этом отношении	5	2
19	состоит в том	3	2
20	именно потому что	2	2
21	что он не	2	2
22	то обстоятельство что	2	2
23	то время как	4	2
24	но все же	2	2
