N	2gram	Berdyaev_M_2	slovoVRo
1	и в	46	39
2	может быть	21	37
3	и его	5	33
4	не только	18	24
5	и не	18	22
6	но и	15	21
7	не может	15	20
8	в нем	22	19
9	до конца	4	17
10	в этом	20	16
11	так и	4	15
12	а не	13	14
13	человек и	2	14
14	как в	7	13
15	во всех	2	12
16	к своему	2	9
17	не в	9	9
18	со своим	2	9
19	и с	3	9
20	прежде всего	12	8
21	себя в	4	8
22	оно не	2	8
23	точки зрения	2	8
24	с его	4	7
25	для него	18	7
26	в его	5	7
27	как бы	8	7
28	никогда не	18	7
29	в этих	2	7
30	и потому	7	7
31	с ним	3	7
32	человек в	3	6
33	в них	3	6
34	и к	7	6
35	как и	13	6
36	в своем	8	6
37	она не	8	6
38	в сущности	2	6
39	жизни и	6	6
40	но в	10	6
41	это не	5	5
42	и для	7	5
43	и все	5	5
44	по себе	2	5
45	том что	4	5
46	или иной	2	5
47	только в	3	5
48	в том	3	5
49	один из	5	5
50	человека в	14	5
51	уже не	4	5
52	себя и	3	4
53	и мир	2	4
54	ни в	3	4
55	отношению к	2	4
56	на почве	3	4
57	в отношении	5	4
58	по отношению	2	4
59	его не	2	4
60	для этого	4	4
61	отношения к	2	4
62	то же	5	4
63	и других	2	4
64	а в	2	4
65	и на	3	4
66	в основе	2	4
67	отношении к	3	4
68	отношение к	8	4
69	его в	3	4
70	во всем	5	4
71	так как	8	4
72	и там	6	3
73	что в	4	3
74	хотя бы	7	3
75	и от	3	3
76	человека и	7	3
77	в свою	4	3
78	что и	4	3
79	но это	8	3
80	него нет	5	3
81	связи с	2	3
82	на этом	2	3
83	у него	22	3
84	как к	2	3
85	в ней	11	3
86	к нему	2	3
87	связано с	3	3
88	быть и	2	3
89	бы и	5	3
90	лишь в	2	3
91	той же	3	3
92	сказать что	3	3
93	между тем	2	3
94	в чем	3	3
95	чем в	2	2
96	а лишь	2	2
97	уже в	2	2
98	не был	2	2
99	не было	11	2
100	в сфере	2	2
101	хотя и	2	2
102	в нашем	7	2
103	но она	2	2
104	жизни в	3	2
105	но он	11	2
106	того как	3	2
107	тогда когда	2	2
108	не всегда	2	2
109	с которым	3	2
110	в себе	10	2
111	и здесь	6	2
112	что он	7	2
113	все что	4	2
114	и нет	3	2
115	мы увидим	2	2
116	только и	4	2
117	в новых	2	2
118	же и	2	2
119	к ней	2	2
120	должен быть	4	2
121	с таким	2	2
122	сих пор	3	2
123	на его	2	2
124	то что	5	2
125	вместе с	2	2
126	те же	5	2
127	еще более	2	2
128	чем не	2	2
129	это и	3	2
130	но эта	2	2
131	во власти	6	2
132	они не	4	2
133	того чтобы	4	2
134	для того	5	2
135	менее всего	3	2
136	людей и	3	2
137	также и	4	2
138	в более	2	2
139	он не	10	2
140	не знает	9	2
141	о том	3	2
142	как он	3	2
143	которые в	2	2
144	только с	3	2
145	до сих	3	2
