N	2gram	Voloshinov_1	Marksizm
1	может быть	14	28
2	и пр	3	25
3	и в	12	19
4	как бы	13	19
5	и не	10	19
6	не может	16	18
7	в процессе	6	18
8	точки зрения	14	17
9	то же	5	16
10	и его	13	16
11	в этом	4	15
12	таким образом	12	14
13	не только	4	13
14	с точки	2	13
15	высказывание как	2	12
16	высказывания и	2	11
17	в нем	6	11
18	если бы	9	11
19	не в	4	10
20	в пределах	3	10
21	но и	3	10
22	том что	5	10
23	так и	4	10
24	речи в	2	10
25	для него	3	9
26	при этом	6	9
27	как и	5	9
28	самом деле	3	9
29	а не	5	9
30	отнюдь не	5	8
31	по отношению	11	8
32	в то	2	8
33	с его	2	8
34	отношению к	11	8
35	только в	6	8
36	никогда не	5	7
37	высказывания как	4	7
38	в том	6	7
39	его в	4	7
40	но в	5	7
41	и более	3	7
42	прежде всего	8	7
43	внутренней речи	3	7
44	на самом	4	7
45	и для	3	7
46	ни в	3	6
47	в самом	4	6
48	и следовательно	5	6
49	и значение	2	6
50	с помощью	6	6
51	ни было	4	6
52	же самое	2	6
53	и все	2	6
54	между тем	3	6
55	более того	2	6
56	слова и	6	6
57	быть и	3	6
58	социальной группы	3	6
59	хотя бы	5	6
60	мы можем	2	6
61	то ни	3	5
62	к нему	4	5
63	в форме	2	5
64	так же	3	5
65	и на	4	5
66	и здесь	2	5
67	к этому	2	5
68	в его	2	5
69	мы ни	5	5
70	все же	4	5
71	в данном	2	5
72	выражение в	2	5
73	отношении к	3	5
74	в душе	2	4
75	должна быть	5	4
76	в отношении	2	4
77	это не	2	4
78	как если	4	4
79	в формах	2	4
80	то что	5	4
81	бы то	3	4
82	влияние на	2	4
83	того что	3	4
84	сказать что	7	4
85	конечно не	3	4
86	в основном	2	4
87	связь с	2	4
88	только на	3	4
89	и ее	3	4
90	в себе	3	4
91	ничего не	2	4
92	в этих	2	3
93	в какой	2	3
94	с другой	4	3
95	жизненной речи	3	3
96	да и	3	3
97	одной стороны	2	3
98	в ней	6	3
99	за пределы	4	3
100	в котором	3	3
101	значения и	2	3
102	в каком	3	3
103	с одной	2	3
104	все эти	3	3
105	социального общения	4	3
106	для других	2	3
107	о том	3	3
108	так как	9	3
109	слово в	3	3
110	по себе	3	3
111	конечно в	2	3
112	социальной среды	2	3
113	оценки и	2	3
114	одно и	2	3
115	до сих	3	3
116	еще не	3	3
117	не к	3	3
118	в корне	2	3
119	он не	2	3
120	относится к	2	3
121	что и	2	3
122	не есть	2	3
123	в своей	3	3
124	на материале	2	3
125	форму и	2	3
126	с другими	2	3
127	и то	2	3
128	могут быть	2	3
129	сих пор	3	3
130	место в	2	2
131	уже в	2	2
132	все время	6	2
133	делает его	2	2
134	независимо от	2	2
135	что в	2	2
136	в нашем	11	2
137	точку зрения	2	2
138	формы и	3	2
139	на все	2	2
140	его к	2	2
141	разрыв между	2	2
142	является для	2	2
143	тому же	2	2
144	двух направлениях	3	2
145	выходят за	2	2
146	почти исключительно	2	2
147	но что	2	2
148	до конца	2	2
149	не так	2	2
150	общения и	2	2
151	идеологического творчества	2	2
152	в зависимости	2	2
153	жизни и	4	2
154	той социальной	2	2
155	в своем	2	2
156	в особенности	2	2
157	в материале	2	2
158	можем сказать	2	2
159	как на	2	2
160	но для	3	2
161	социальных оценок	3	2
162	и с	3	2
163	допустим что	2	2
164	к его	2	2
165	и является	4	2
166	слушателя и	2	2
167	в жизни	5	2
168	так называемой	3	2
169	стороны и	2	2
170	выражение и	2	2
171	зависимости от	4	2
172	но не	2	2
173	на границе	3	2
174	высказывания так	2	2
175	и потому	2	2
176	соприкасается с	2	2
177	мы никогда	2	2
178	бы не	2	2
179	в атмосфере	2	2
180	эти моменты	2	2
181	что не	4	2
182	ко всем	2	2
183	между ними	2	2
184	мы не	3	2
185	может стать	2	2
186	если же	2	2
187	там где	2	2
188	из него	2	2
189	вместе с	2	2
190	слагается из	2	2
