N	2gram	Losev_Prob_4	UchenyiS
1	и в	20	14
2	а не	7	10
3	не только	24	10
4	и не	28	8
5	прежде всего	11	8
6	то что	15	7
7	в этом	9	7
8	не может	5	7
9	может быть	9	6
10	в художественном	4	5
11	хотя бы	7	5
12	перестает быть	2	5
13	все это	9	5
14	и только	4	5
15	то же	7	5
16	но и	14	4
17	в этой	4	4
18	конечно не	3	4
19	с другой	7	4
20	только к	3	3
21	но в	8	3
22	как и	6	3
23	и то	2	3
24	все же	2	3
25	в своей	4	3
26	в частности	2	3
27	произведения искусства	2	3
28	для этого	2	3
29	другой стороны	6	3
30	для него	3	3
31	это не	7	3
32	в то	4	3
33	было бы	14	3
34	в области	3	3
35	ни было	2	3
36	у нас	14	3
37	тех или	4	2
38	том что	12	2
39	но не	5	2
40	в том	20	2
41	мы не	7	2
42	с его	2	2
43	не есть	12	2
44	крайней мере	6	2
45	не в	13	2
46	всех этих	6	2
47	и для	4	2
48	но это	6	2
49	бы и	3	2
50	этом смысле	3	2
51	если бы	8	2
52	это уже	3	2
53	только в	23	2
54	и с	7	2
55	но даже	4	2
56	тем что	3	2
57	даже и	13	2
58	что он	8	2
59	все они	3	2
60	в себе	12	2
61	как раз	4	2
62	что мы	3	2
63	же самое	6	2
64	в конце	2	2
65	если не	3	2
66	в самом	2	2
67	или иных	3	2
68	нам представляется	2	2
69	по себе	11	2
70	в буквальном	3	2
71	а его	2	2
72	самом деле	3	2
73	для всех	3	2
74	по крайней	6	2
75	что она	4	2
76	и является	3	2
77	что и	3	2
78	в его	3	2
79	таким образом	8	2
80	это было	2	2
