N	2gram	Medvedev_U_1	StatiiOP
1	и в	14	29
2	том что	2	27
3	в том	2	27
4	в этом	7	21
5	но и	4	19
6	не только	10	19
7	что он	2	13
8	в его	2	13
9	то что	7	11
10	все это	5	11
11	таким образом	2	10
12	этом отношении	2	9
13	и не	8	9
14	как раз	2	8
15	но в	3	8
16	в самом	2	7
17	в своей	3	7
18	не столько	2	7
19	до сих	2	6
20	одним из	2	6
21	все же	3	6
22	о чем	2	5
23	прежде всего	8	5
24	было бы	3	5
25	сих пор	2	5
26	а не	10	5
27	между тем	2	5
28	а как	2	4
29	в частности	3	4
30	с другой	4	4
31	не в	2	4
32	для него	3	4
33	не приходится	2	4
34	ничего не	2	4
35	и с	2	4
36	по себе	2	3
37	у нас	3	3
38	но это	2	3
39	но не	2	3
40	материал для	2	3
41	другой стороны	3	3
42	самом деле	2	3
43	в их	4	3
44	вряд ли	3	3
45	тем что	2	3
46	хотя бы	5	3
47	в россии	4	3
48	неудивительно что	2	3
49	с его	2	2
50	ни было	3	2
51	если бы	2	2
52	если не	2	2
53	в конце	2	2
54	что и	2	2
55	по существу	2	2
56	как и	3	2
57	то ни	3	2
58	должна была	2	2
59	в этой	4	2
60	в то	3	2
61	очевидно что	3	2
62	может быть	6	2
63	только к	3	2
64	только в	2	2
65	бы то	3	2
66	в некоторых	2	2
67	не может	7	2
68	пишет он	2	2
69	то же	5	2
70	что такое	4	2
71	к сожалению	3	2
72	в себе	2	2
73	в области	3	2
74	это было	2	2
