N	3gram	Trubetskoy_1	EvropaiC
1	в том что	7	16
2	до сих пор	5	12
3	друг с другом	14	9
4	с точки зрения	9	8
5	а между тем	5	7
6	более или менее	4	7
7	на то что	4	7
8	на самом деле	6	7
9	друг от друга	2	6
10	для того чтобы	6	6
11	о котором идет	2	5
12	котором идет речь	2	5
13	лишь в том	2	5
14	не может быть	4	4
15	о том что	2	4
16	тот факт что	2	4
17	том случае если	3	4
18	в конце концов	3	4
19	в этом случае	3	4
20	в том случае	4	4
21	в данном случае	3	3
22	в настоящее время	2	3
23	не может не	3	3
24	и то что	3	3
25	в то же	10	2
26	возможно лишь при	4	2
27	таким же образом	2	2
28	и в том	2	2
29	о том чтобы	2	2
30	то же время	10	2
31	лишь при условии	2	2
32	в том и	2	2
33	бы то ни	4	2
34	во всяком случае	6	2
35	вместе с тем	3	2
