N	2gram	Vygotskiy__7	formyVre
1	и в	26	50
2	в этом	29	25
3	в нем	2	24
4	и его	12	16
5	прежде всего	7	15
6	и не	18	14
7	как мы	14	14
8	вовсе не	2	13
9	как раз	3	13
10	в его	4	13
11	так и	3	12
12	может быть	7	11
13	таким образом	23	11
14	мы уже	3	11
15	то же	8	11
16	но в	4	10
17	в конце	4	9
18	в том	18	9
19	все эти	6	9
20	в то	3	9
21	не только	24	9
22	ничего не	2	9
23	в самом	9	8
24	и их	5	8
25	но и	11	8
26	как и	15	8
27	ни в	2	8
28	и во	4	7
29	для себя	24	7
30	все же	6	6
31	это не	3	6
32	с ее	2	6
33	в их	2	6
34	не может	11	6
35	лишь в	2	6
36	так же	14	6
37	так как	14	6
38	с этим	2	6
39	связи с	4	6
40	во всех	6	6
41	то что	24	6
42	время в	2	6
43	в ее	6	6
44	как в	4	6
45	между двумя	3	6
46	что в	12	5
47	не в	4	5
48	значение в	2	5
49	и до	2	5
50	только и	3	5
51	время как	2	5
52	в основе	3	5
53	точки зрения	28	5
54	если бы	5	5
55	но не	3	5
56	еще не	4	5
57	наряду с	2	5
58	он не	3	5
59	в основном	3	5
60	отношению к	5	5
61	и речи	19	5
62	того чтобы	19	5
63	для того	18	5
64	могут быть	2	5
65	мы и	2	4
66	до конца	5	4
67	и следовательно	5	4
68	в котором	4	4
69	все это	3	4
70	не имеет	2	4
71	для других	15	4
72	потому что	16	4
73	и с	5	4
74	в ней	3	4
75	между собой	6	4
76	то время	2	4
77	раз в	2	4
78	в процессе	5	4
79	в той	4	4
80	том что	17	4
81	и для	5	4
82	и то	7	4
83	только в	8	4
84	не могут	4	3
85	себя и	2	3
86	в этих	2	3
87	в отношении	2	3
88	в определенном	2	3
89	к тому	7	3
90	с тем	5	3
91	имеет место	4	3
92	в виду	5	3
93	один из	2	3
94	со всеми	2	3
95	по отношению	6	3
96	отношения к	2	3
97	этом отношении	3	3
98	с одной	5	3
99	именно в	6	3
100	и других	2	3
101	но эта	2	3
102	друг друга	4	3
103	а в	2	3
104	сказать что	8	3
105	одно из	5	3
106	в начале	5	3
107	его в	2	3
108	к этому	2	3
109	что было	2	3
110	значение и	2	3
111	есть не	3	3
112	в качестве	5	3
113	одно и	3	3
114	одной из	4	3
115	в сущности	9	3
116	мы говорили	2	3
117	и потому	3	3
118	только к	2	3
119	что и	3	3
120	вместе с	12	3
121	сих пор	3	3
122	только на	3	3
123	во всей	2	3
124	а не	6	3
125	что не	2	3
126	между ними	3	3
127	мы не	7	3
128	мы видим	3	3
129	или в	2	3
130	с другими	3	3
131	нас в	2	3
132	во всяком	2	3
133	и ее	2	3
134	в себе	9	3
135	входит в	2	3
136	до сих	3	3
137	уже в	2	2
138	самого начала	7	2
139	же как	8	2
140	никогда не	4	2
141	в нашем	4	2
142	друг другу	3	2
143	его и	2	2
144	точку зрения	2	2
145	с другой	4	2
146	никто не	2	2
147	само собой	2	2
148	что все	2	2
149	вопрос о	6	2
150	для нас	2	2
151	его от	2	2
152	с самого	7	2
153	есть в	3	2
154	в свою	2	2
155	момент в	3	2
156	для него	3	2
157	одной стороны	5	2
158	но для	2	2
159	есть только	2	2
160	в целом	5	2
161	отношение к	2	2
162	мы находим	3	2
163	с помощью	13	2
164	в самой	3	2
165	во втором	3	2
166	по природе	2	2
167	того что	14	2
168	и по	3	2
169	в которых	2	2
170	самим собой	2	2
171	также и	2	2
172	имеет в	3	2
173	но он	2	2
174	и является	3	2
175	во всем	3	2
176	что мы	9	2
177	мы должны	6	2
178	с ним	3	2
179	не является	3	2
180	сравнению с	8	2
181	к другому	3	2
182	тогда когда	5	2
183	по себе	3	2
184	стороны и	4	2
185	и к	7	2
186	об этом	3	2
187	в другую	3	2
188	в чем	3	2
189	чем в	4	2
190	было бы	6	2
191	том же	2	2
192	к ней	2	2
193	эти особенности	3	2
194	в этот	3	2
195	нет и	3	2
196	по сравнению	9	2
197	и всей	2	2
198	в своей	3	2
199	к другу	2	2
200	как бы	6	2
201	ее в	8	2
202	оказывается что	2	2
203	совершенно не	2	2
204	в отличие	2	2
205	связь между	6	2
206	если мы	5	2
207	с точки	21	2
208	речи в	27	2
209	в которой	11	2
210	той же	8	2
211	в данном	5	2
212	как она	5	2
213	тем что	9	2
214	выражение в	6	2
215	того и	2	2
216	ту же	2	2
217	слова и	10	2
218	здесь как	2	2
219	отличие от	2	2
220	с необходимостью	2	2
