N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	41
2	то есть	12	20
3	таким образом	3	19
4	в этом	8	15
5	как и	4	14
6	в этой	3	13
7	то же	7	13
8	все эти	2	13
9	в его	6	12
10	прежде всего	2	11
11	в том	16	11
12	в себе	9	11
13	никто не	2	10
14	так и	10	10
15	все это	2	10
16	в то	6	10
17	в качестве	24	9
18	и его	8	9
19	не в	7	9
20	же время	5	9
21	но и	9	9
22	и т.п	4	9
23	в своем	4	9
24	что в	9	9
25	в конце	2	8
26	то что	3	8
27	но в	9	8
28	в них	2	7
29	вовсе не	3	7
30	в романе	3	7
31	как бы	5	7
32	в нем	4	7
33	и не	13	7
34	это не	2	6
35	ни в	2	6
36	есть в	2	6
37	для него	2	6
38	только в	6	6
39	не только	16	5
40	и к	3	5
41	вместе с	2	5
42	что и	2	5
43	как в	5	5
44	а в	13	5
45	и для	2	5
46	так же	2	5
47	точки зрения	9	5
48	и это	2	5
49	в эпизоде	3	5
50	потому что	3	5
51	место в	5	4
52	том числе	2	4
53	хотя и	3	4
54	но он	3	4
55	и здесь	2	4
56	том что	9	4
57	может быть	17	4
58	он не	3	4
59	в виду	5	4
60	к жизни	2	4
61	я не	2	3
62	и другие	2	3
63	в отношении	3	3
64	того же	3	3
65	нового времени	3	3
66	в одном	2	3
67	и потому	2	3
68	в мире	19	3
69	свою очередь	2	3
70	в своей	6	3
71	в свою	3	3
72	при этом	12	3
73	в формах	2	3
74	с ее	3	3
75	в форме	2	3
76	в их	2	3
77	не может	4	3
78	в той	2	3
79	тем самым	4	3
80	с точки	3	3
81	и по	2	3
82	не на	2	3
83	не знает	3	3
84	его в	2	3
85	перед нами	2	2
86	с его	5	2
87	именно в	3	2
88	а на	3	2
89	никогда не	4	2
90	в этих	3	2
91	и ее	3	2
92	к тому	2	2
93	отношению к	4	2
94	и как	2	2
95	более или	2	2
96	по своему	2	2
97	в большинстве	2	2
98	в себя	3	2
99	рассказ о	2	2
100	отношение к	5	2
101	еще не	4	2
102	того что	4	2
103	своего рода	7	2
104	мы в	2	2
105	одной из	2	2
106	а также	6	2
107	дело не	2	2
108	во второй	7	2
109	в первой	5	2
110	или менее	2	2
111	во времени	3	2
112	по отношению	4	2
113	и вот	3	2
114	а не	9	2
115	говорит что	2	2
116	а только	3	2
117	уже не	4	2
118	роль в	2	2
119	или в	3	2
120	в данном	8	2
121	и то	2	2
122	и мира	2	2
123	но их	3	2
124	их в	3	2
125	в литературе	2	2
126	имеем в	3	2
127	и т.д	3	2
128	далеко не	2	2
129	дело в	2	2
130	в которой	2	2
131	в области	4	2
132	мы имеем	7	2
133	это было	2	2
