N	2gram	Berdyaev_N_1	VerxiiNi
1	и в	16	26
2	с тем	3	18
3	вместе с	2	15
4	в этом	7	15
5	в том	8	11
6	может быть	7	10
7	не только	5	10
8	и с	2	10
9	что в	9	9
10	но и	3	9
11	с другой	3	8
12	но не	2	8
13	и не	11	8
14	в религиозном	2	7
15	том что	2	7
16	одной стороны	2	7
17	то что	4	7
18	в эпоху	9	7
19	с одной	2	7
20	потому что	4	7
21	но в	2	7
22	к тому	3	6
23	и потому	4	6
24	так и	2	6
25	все это	5	6
26	все эти	2	6
27	в себе	2	6
28	о том	4	6
29	и к	5	5
30	никогда не	6	5
31	к жизни	3	5
32	так же	2	5
33	лишь в	6	5
34	а не	17	5
35	того чтобы	2	5
36	не имеет	4	5
37	и для	4	5
38	в мире	3	5
39	и от	2	4
40	что все	2	4
41	в нем	5	4
42	в смысле	2	4
43	не может	16	4
44	а в	2	4
45	и что	2	4
46	бога и	3	4
47	он не	8	4
48	в то	2	4
49	не менее	4	3
50	же как	2	3
51	хотя бы	2	3
52	к ним	3	3
53	к богу	2	3
54	культуры и	7	3
55	уже не	2	3
56	и даже	2	3
57	с его	6	2
58	перестает быть	4	2
59	связана с	2	2
60	в них	4	2
61	прежде всего	4	2
62	по существу	2	2
63	по своему	4	2
64	силы и	2	2
65	ли это	2	2
66	еще не	3	2
67	конечно не	3	2
68	должно было	2	2
69	не к	2	2
70	народные массы	4	2
71	жизни и	8	2
72	во всех	3	2
73	эпоху когда	2	2
74	волю к	3	2
75	для этого	2	2
76	не было	4	2
77	и на	2	2
78	в русском	2	2
79	от бога	6	2
80	можно назвать	2	2
81	сказать что	3	2
82	не в	6	2
83	не могла	2	2
84	и все	4	2
85	и это	2	2
86	в россии	3	2
87	в новом	2	2
