N	2gram	Savitsky_P_1	Formalny
1	т е	3	34
2	и в	14	24
3	в его	2	23
4	прежде всего	3	22
5	и не	12	20
6	и пр	5	17
7	не может	4	16
8	точки зрения	3	16
9	в этом	10	15
10	в нем	3	14
11	может быть	5	14
12	с точки	3	13
13	и т	3	12
14	именно как	2	12
15	в своем	4	11
16	не менее	2	11
17	должно быть	2	11
18	то же	9	10
19	в ней	6	10
20	а не	2	10
21	и потому	4	9
22	все это	2	9
23	в то	7	9
24	в ее	2	8
25	же время	7	8
26	именно в	2	8
27	то что	4	8
28	не в	5	8
29	и с	2	8
30	не только	17	7
31	но и	6	7
32	отнюдь не	2	6
33	было бы	6	6
34	в том	9	6
35	в пределах	8	6
36	как бы	4	6
37	а в	4	6
38	отношения к	2	6
39	хотя бы	8	5
40	по себе	4	5
41	бы ни	2	5
42	во всех	2	5
43	со стороны	2	5
44	того что	2	5
45	с другой	5	5
46	но в	9	5
47	главным образом	2	4
48	в частности	2	4
49	стороны и	2	4
50	и к	4	4
51	в мире	2	4
52	одной стороны	3	4
53	если бы	4	4
54	что в	4	4
55	с одной	3	4
56	как на	2	4
57	но не	3	3
58	в отношении	10	3
59	в них	2	3
60	в жизни	2	3
61	и как	3	3
62	а н	5	3
63	в общем	2	3
64	не о	2	3
65	же в	4	3
66	время в	2	3
67	в россии	3	3
68	не было	2	3
69	и других	2	3
70	сводится к	3	3
71	мы не	3	3
72	тем самым	3	3
73	в себе	3	3
74	думать что	2	3
75	в области	11	3
76	с тем	3	2
77	сами по	3	2
78	это не	3	2
79	с этим	2	2
80	она есть	3	2
81	одна из	2	2
82	образом на	2	2
83	в ряду	2	2
84	из важнейших	2	2
85	только в	7	2
86	и если	4	2
87	как раз	2	2
88	начала и	2	2
89	во всей	2	2
90	может и	2	2
91	и вот	2	2
92	между тем	3	2
93	отношении к	5	2
94	и это	2	2
95	в эту	2	2
