N	2gram	Savitsky_E_1	Formalny
1	т е	9	32
2	и не	14	30
3	вовсе не	6	28
4	и в	37	27
5	может быть	6	25
6	не может	9	24
7	так и	10	21
8	таким образом	2	18
9	в этом	12	18
10	а не	2	17
11	точки зрения	23	16
12	в процессе	4	15
13	то же	15	15
14	между ними	2	15
15	как и	7	14
16	с точки	17	14
17	не в	5	12
18	если бы	2	12
19	и от	3	11
20	в самом	4	11
21	место в	3	10
22	но и	14	10
23	не могут	2	10
24	так как	7	9
25	не только	18	9
26	так же	9	9
27	что в	21	8
28	в пределах	25	8
29	как бы	6	8
30	отнюдь не	9	8
31	и все	2	8
32	то что	6	8
33	как мы	5	8
34	только в	9	8
35	в том	11	7
36	же время	14	7
37	потому что	3	7
38	в то	16	7
39	между тем	8	7
40	с тем	3	7
41	для них	2	7
42	в его	2	7
43	там где	3	7
44	с другой	7	6
45	и теперь	2	6
46	всяком случае	3	6
47	в своих	2	6
48	бы в	2	6
49	но в	14	6
50	было бы	8	6
51	в своей	8	6
52	хотя бы	15	6
53	и для	3	6
54	в данном	3	6
55	во всяком	3	6
56	вместе с	2	6
57	независимо от	4	5
58	никогда не	3	5
59	ни было	4	5
60	того чтобы	6	5
61	не является	3	5
62	другой стороны	2	5
63	в ней	4	5
64	в направлении	4	5
65	в результате	3	5
66	в истории	2	5
67	большинстве случаев	3	5
68	в идеологическом	2	5
69	но не	5	5
70	и потому	5	5
71	что же	2	5
72	тем что	3	5
73	то ни	4	4
74	прежде всего	9	4
75	в смысле	9	4
76	к тому	8	4
77	и как	2	4
78	в большинстве	2	4
79	для того	6	4
80	мы видели	3	4
81	бы то	4	4
82	жизни и	2	4
83	данном случае	2	4
84	со стороны	5	4
85	о том	3	4
86	как это	4	4
87	мы можем	3	4
88	между собой	2	4
89	обстоит дело	3	4
90	тогда когда	2	4
91	по себе	4	4
92	бы ни	3	4
93	не есть	2	4
94	в ее	8	4
95	том что	6	4
96	она не	2	4
97	как в	3	4
98	мы не	4	4
99	могут быть	2	4
100	же как	5	3
101	бы и	3	3
102	что это	2	3
103	в этих	2	3
104	в какой	2	3
105	столь же	5	3
106	можно сказать	4	3
107	для нас	4	3
108	должна быть	2	3
109	того что	7	3
110	имеет место	2	3
111	дело идет	2	3
112	и тем	3	3
113	этот процесс	2	3
114	этом отношении	3	3
115	и что	2	3
116	в которых	3	3
117	и на	6	3
118	сказать что	4	3
119	и с	2	3
120	и более	2	3
121	жизни в	3	3
122	в них	3	3
123	того же	3	3
124	во всех	6	3
125	время в	3	3
126	ее в	3	3
127	в той	5	3
128	и эта	2	3
129	иначе обстоит	2	3
130	не на	4	3
131	в себе	9	3
132	в сторону	2	2
133	в отношении	32	2
134	вообще не	3	2
135	главным образом	2	2
136	или иной	4	2
137	такой же	2	2
138	в этой	2	2
139	очевидно что	3	2
140	не можем	2	2
141	в общем	3	2
142	но если	5	2
143	известной степени	3	2
144	к нулю	2	2
145	в котором	2	2
146	какой бы	2	2
147	нам кажется	7	2
148	из них	3	2
149	в своем	14	2
150	и только	3	2
151	как совокупность	4	2
152	и даже	6	2
153	такое предположение	2	2
154	как совокупности	2	2
155	этих областей	5	2
156	притом в	2	2
157	даже что	2	2
158	в россии	5	2
159	в полной	4	2
160	именно потому	2	2
161	этом смысле	3	2
162	и со	3	2
163	и во	2	2
164	стороны и	6	2
165	и притом	4	2
166	то в	4	2
167	связано с	3	2
168	ту или	3	2
169	мы должны	2	2
170	кажется что	2	2
171	в данной	3	2
172	одной из	5	2
173	ними и	2	2
174	даже в	4	2
175	что и	3	2
176	как не	2	2
177	россии и	3	2
178	или точнее	2	2
179	как их	2	2
180	в таком	3	2
181	это значит	2	2
182	от этого	5	2
183	в каком	4	2
184	дело в	3	2
185	в области	11	2
186	в эту	2	2
