N	2gram	Berdyaev_N_1	DiskursI
1	не только	5	28
2	в том	8	23
3	а не	17	22
4	том что	2	19
5	может быть	7	17
6	и в	16	16
7	как и	7	16
8	в этом	7	15
9	еще не	3	14
10	но и	3	14
11	и т.п	2	12
12	прежде всего	4	11
13	но не	2	11
14	и не	11	11
15	с другой	3	10
16	как в	3	10
17	в нем	5	9
18	одной стороны	2	9
19	не может	16	9
20	с одной	2	9
21	так и	2	8
22	о том	4	8
23	но в	2	8
24	в основе	3	7
25	не было	4	7
26	роль в	2	7
27	в себе	2	7
28	не в	6	7
29	ни к	2	6
30	к тому	3	5
31	в своей	3	5
32	то что	4	5
33	во всех	3	5
34	а в	2	5
35	в эпоху	9	5
36	и на	2	5
37	с его	6	4
38	что в	9	4
39	в них	4	4
40	и к	5	4
41	уже не	2	4
42	в истории	3	4
43	такого рода	2	4
44	лишь в	6	4
45	потому что	4	4
46	могут быть	2	4
47	это не	4	3
48	в ее	3	3
49	времени и	2	3
50	по своему	4	3
51	с этим	2	3
52	к ним	3	3
53	хотя бы	2	3
54	к содержанию	2	3
55	как не	8	3
56	другой стороны	2	3
57	и даже	2	3
58	сказать что	3	3
59	в то	2	3
60	тому как	3	3
61	и потому	4	3
62	зависит от	2	2
63	не менее	4	2
64	и есть	10	2
65	никогда не	6	2
66	и все	4	2
67	есть в	2	2
68	хотя и	2	2
69	не есть	3	2
70	с ее	5	2
71	себя в	2	2
72	наше время	4	2
73	мысли и	2	2
74	за пределы	3	2
75	в наше	3	2
76	жизни в	3	2
77	и было	2	2
78	и что	2	2
79	том чтобы	2	2
80	времени в	2	2
81	эпохи и	4	2
82	подобно тому	3	2
83	на протяжении	2	2
84	в новом	2	2
85	это было	3	2
