N	2gram	Tiupa_Hudo_2	EvropaiC
1	в том	15	31
2	и в	28	24
3	том что	19	20
4	не может	4	18
5	то что	6	17
6	может быть	8	15
7	все же	2	15
8	точки зрения	2	13
9	в своем	5	12
10	до сих	2	12
11	сих пор	2	12
12	самом деле	3	12
13	в этом	13	12
14	все это	3	11
15	между тем	8	11
16	отношению к	7	10
17	мы знаем	2	10
18	как бы	5	10
19	по отношению	7	10
20	все что	3	10
21	так и	8	10
22	при этом	11	9
23	как и	11	9
24	что в	5	9
25	не в	13	8
26	в самом	5	8
27	так же	3	8
28	если бы	6	8
29	и все	7	8
30	с точки	2	8
31	не менее	5	7
32	к тому	7	7
33	но и	9	7
34	и не	18	7
35	из этих	2	7
36	о том	12	7
37	что он	8	7
38	о которых	2	7
39	того чтобы	4	7
40	для того	4	7
41	а между	4	7
42	все они	3	6
43	с другой	3	6
44	в этой	5	6
45	несмотря на	3	6
46	как на	2	6
47	и на	3	6
48	с ним	7	6
49	к чужой	5	6
50	еще не	3	6
51	что и	4	6
52	тогда как	7	6
53	в мире	7	6
54	только в	4	6
55	вместе с	2	6
56	именно в	2	5
57	что это	5	5
58	столь же	3	5
59	и от	2	5
60	что все	3	5
61	тому же	2	5
62	у него	5	5
63	и с	6	5
64	потому что	2	5
65	его в	2	5
66	но в	2	5
67	и к	2	5
68	в то	6	5
69	в его	11	5
70	не только	11	5
71	не будет	2	5
72	и для	2	5
73	лишь в	2	5
74	в себе	9	5
75	как будто	4	5
76	никогда не	5	4
77	та же	2	4
78	тем не	4	4
79	ибо в	2	4
80	отношение к	2	4
81	из них	2	4
82	и то	2	4
83	в состоянии	3	4
84	мы уже	3	4
85	он не	4	4
86	то же	6	4
87	а с	3	4
88	и у	2	4
89	хотя бы	2	4
90	в виде	2	4
91	и т.д	2	4
92	же как	2	3
93	с одной	3	3
94	в нашем	2	3
95	в этих	3	3
96	для нас	3	3
97	как у	2	3
98	различия между	2	3
99	в нем	3	3
100	данном случае	2	3
101	а в	6	3
102	это не	6	3
103	прежде всего	3	3
104	в жизни	8	3
105	в данном	2	3
106	и это	3	3
107	же не	2	3
108	в частности	7	2
109	себя и	2	2
110	тому что	4	2
111	что у	3	2
112	о них	3	2
113	что на	3	2
114	как мы	2	2
115	сводится к	6	2
116	для него	5	2
117	что они	4	2
118	на этом	2	2
119	же время	4	2
120	одной стороны	3	2
121	и сам	5	2
122	к нему	3	2
123	в ней	3	2
124	в котором	6	2
125	и уже	4	2
126	с ее	5	2
127	по его	3	2
128	что она	7	2
129	то и	4	2
130	и состоит	3	2
131	те же	2	2
132	во втором	2	2
133	два человека	2	2
134	в глазах	6	2
135	с ними	3	2
136	одно из	5	2
137	к той	2	2
138	говорить о	2	2
139	не было	6	2
140	а для	2	2
141	в основе	2	2
142	только не	2	2
143	отнюдь не	2	2
144	давно уже	2	2
145	в них	3	2
146	гораздо более	2	2
147	вовсе не	2	2
148	то в	4	2
149	одна из	2	2
150	но не	4	2
151	она не	5	2
152	было бы	3	2
153	со своей	2	2
154	жизни и	6	2
155	тем как	2	2
156	на него	3	2
157	что же	2	2
158	о которой	2	2
159	тем самым	2	2
160	не более	2	2
161	между ними	2	2
162	и ее	3	2
163	в другом	2	2
164	и только	2	2
165	все его	3	2
