N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	65
2	как бы	4	22
3	и не	6	22
4	в том	4	16
5	в этом	7	15
6	но в	3	14
7	в условиях	5	13
8	в нем	3	13
9	прежде всего	5	11
10	и потому	3	10
11	не только	4	10
12	все эти	5	10
13	в его	2	9
14	все это	3	9
15	в дальнейшем	4	8
16	и даже	2	8
17	в области	3	7
18	жизни и	4	7
19	точки зрения	12	7
20	все же	3	6
21	как мы	2	6
22	времени и	2	6
23	еще не	3	6
24	при этом	3	6
25	может быть	12	6
26	так как	4	6
27	в одном	3	5
28	его развития	3	5
29	еще более	2	5
30	отличие от	2	5
31	или иной	2	5
32	и пр	2	5
33	как и	6	5
34	и все	3	5
35	и к	3	4
36	не в	3	4
37	в этой	3	4
38	совершенно не	2	4
39	в самом	2	4
40	из них	4	4
41	для нас	3	4
42	в отличие	2	4
43	так сказать	2	4
44	не могут	2	3
45	что в	2	3
46	на котором	2	3
47	это не	4	3
48	и во	2	3
49	но все	2	3
50	самом деле	2	3
51	между всеми	2	3
52	с точки	5	3
53	на этой	3	3
54	не может	17	3
55	уже не	2	3
56	в системе	3	3
57	в себе	3	3
58	ничего не	6	3
59	не подлежит	3	2
60	из этих	2	2
61	этих двух	2	2
62	конечно в	2	2
63	мы видим	2	2
64	на его	2	2
65	нет и	4	2
66	в целом	4	2
67	и именно	2	2
68	в некоторых	2	2
69	приводит к	2	2
70	в стадии	5	2
71	с одной	2	2
72	при таком	3	2
73	и наконец	5	2
74	на этот	2	2
75	и по	2	2
76	роль в	2	2
77	в таком	2	2
78	их в	4	2
79	могут быть	2	2
