N	2gram	Voloshinov_1	NovoeSre
1	а не	7	17
2	не может	24	16
3	и в	19	16
4	нового времени	2	12
5	и не	26	11
6	и есть	3	10
7	что в	4	9
8	жизни и	2	8
9	он не	3	8
10	в том	6	8
11	не будет	4	7
12	культуры и	2	7
13	как и	12	7
14	в этом	16	7
15	может быть	26	7
16	никогда не	2	6
17	в высшей	3	6
18	не знает	2	6
19	не в	5	6
20	высшей степени	3	6
21	лишь в	9	6
22	ни в	2	6
23	в нем	10	5
24	все это	3	5
25	с ее	2	5
26	xix века	3	5
27	и к	3	5
28	в ней	4	5
29	не только	8	5
30	не менее	4	4
31	то что	8	4
32	и все	5	4
33	не было	3	4
34	всех сторон	2	4
35	не имеет	3	4
36	и для	11	4
37	должно быть	2	4
38	есть лишь	2	4
39	прежде всего	13	4
40	о том	2	4
41	со всех	2	4
42	и потому	5	4
43	но и	8	3
44	не есть	3	3
45	не существует	3	3
46	должна быть	2	3
47	в своей	3	3
48	в истории	3	3
49	жизни в	4	3
50	с другой	5	3
51	вопрос о	4	3
52	во всех	7	3
53	и пр	12	3
54	эти формы	2	3
55	к тому	2	3
56	что такое	2	3
57	в ее	7	3
58	в основе	2	3
59	конечно не	5	3
60	как в	4	3
61	она не	2	3
62	еще не	4	3
63	за пределы	5	3
64	сказать что	4	3
65	в новое	2	3
66	что все	2	2
67	нем нет	2	2
68	место в	3	2
69	в нашу	3	2
70	бытия в	7	2
71	так и	11	2
72	мысли и	4	2
73	и формы	3	2
74	и т.п	10	2
75	другой стороны	6	2
76	формы и	3	2
77	и от	3	2
78	а в	4	2
79	этом смысле	2	2
80	все эти	7	2
81	борьба и	2	2
82	быть в	2	2
83	нет и	4	2
84	того чтобы	5	2
85	зависит от	2	2
86	и даже	2	2
87	хотя бы	5	2
88	ни к	2	2
89	так же	7	2
90	это и	3	2
91	мы не	6	2
92	том что	3	2
93	в смысле	6	2
94	можно было	2	2
95	связана с	2	2
96	связаны с	2	2
97	же как	2	2
98	одна из	2	2
99	и с	2	2
100	могут быть	2	2
101	с этим	4	2
102	и на	4	2
103	в себе	2	2
104	в то	3	2
105	общества и	2	2
106	и это	3	2
107	не имеют	3	2
108	мира и	2	2
109	мысли в	2	2
110	но для	2	2
111	но в	7	2
