N	2gram	Ircho_Kome_3	Problema
1	в его	8	43
2	и не	21	42
3	и в	22	38
4	не может	3	27
5	может быть	6	26
6	как бы	3	22
7	по отношению	5	21
8	отнюдь не	4	19
9	отношению к	3	19
10	и с	4	17
11	и его	6	16
12	в нем	3	15
13	в этом	8	15
14	и т	4	14
15	прежде всего	5	13
16	т п	4	13
17	за пределы	2	12
18	ни в	10	11
19	во всех	2	11
20	и для	4	11
21	в области	2	11
22	к нему	5	10
23	отношение к	5	10
24	в их	2	10
25	таким образом	12	10
26	но и	4	9
27	не имеет	3	9
28	его в	8	9
29	не только	5	9
30	в том	12	8
31	точки зрения	4	8
32	было бы	3	8
33	то что	4	8
34	что в	5	7
35	с другой	4	7
36	с помощью	4	7
37	не в	4	7
38	в самом	9	7
39	между тем	2	7
40	как и	3	7
41	еще не	6	7
42	совершенно не	2	7
43	в своей	5	7
44	как мы	2	7
45	в пределах	2	6
46	а в	7	6
47	только как	2	6
48	все же	4	6
49	дело с	3	6
50	самом деле	6	6
51	с точки	3	6
52	мы можем	3	6
53	и этим	3	6
54	отношения к	2	6
55	ничего не	3	6
56	то же	7	5
57	в своем	8	5
58	это не	2	5
59	при этом	7	5
60	никогда не	3	5
61	в основе	2	5
62	далеко не	3	5
63	с ним	5	5
64	в них	3	5
65	конечно не	3	5
66	и о	2	5
67	так и	4	5
68	а не	4	5
69	отличие от	2	5
70	не менее	5	4
71	в ней	4	4
72	известной степени	2	4
73	в конечном	2	4
74	в виду	2	4
75	другой стороны	2	4
76	в других	3	4
77	в то	6	4
78	о том	8	4
79	но в	5	4
80	конечном счете	2	4
81	не с	2	4
82	в ее	3	4
83	как в	2	4
84	что не	3	4
85	между ними	2	4
86	хотя бы	4	4
87	можно было	2	4
88	в себе	4	4
89	здесь не	2	4
90	себя и	2	3
91	то ни	3	3
92	тем не	3	3
93	в известной	2	3
94	же время	5	3
95	одной стороны	3	3
96	несмотря на	4	3
97	хотя и	5	3
98	не является	4	3
99	в целом	3	3
100	все это	5	3
101	с одной	3	3
102	на них	3	3
103	и даже	3	3
104	и на	2	3
105	а как	2	3
106	ни было	2	3
107	если бы	8	3
108	и все	2	3
109	ясно что	6	3
110	и к	3	3
111	том что	13	3
112	говорить о	3	3
113	бы то	2	3
114	все что	3	3
115	одной из	3	3
116	он не	5	3
117	нет и	4	3
118	на него	4	3
119	приводит к	3	3
120	в мире	2	3
121	в таком	2	3
122	с другими	2	3
123	не знает	3	3
124	на ее	3	3
125	и это	2	3
126	едва ли	7	3
127	чем в	3	2
128	не могут	2	2
129	том как	3	2
130	в частности	3	2
131	в какой	3	2
132	столь же	3	2
133	для понимания	2	2
134	на то	3	2
135	в свою	7	2
136	не дает	4	2
137	какой мере	2	2
138	в котором	2	2
139	здесь нет	4	2
140	в связи	4	2
141	не было	2	2
142	этом отношении	2	2
143	и что	6	2
144	его не	2	2
145	и здесь	4	2
146	в своих	2	2
147	нуждается в	2	2
148	к себе	5	2
149	в начале	3	2
150	же самое	3	2
151	как это	5	2
152	с его	3	2
153	следует что	3	2
154	и во	2	2
155	к этому	6	2
156	вовсе не	4	2
157	что он	8	2
158	по существу	2	2
159	связи с	5	2
160	она не	2	2
161	должен быть	2	2
162	что и	8	2
163	бы не	2	2
164	положение вещей	2	2
165	в двух	3	2
166	человека в	2	2
167	к своему	2	2
168	того чтобы	6	2
169	для того	6	2
170	из которых	2	2
171	и он	2	2
172	тем что	5	2
173	является конечно	2	2
174	и ее	2	2
175	в другом	2	2
176	что эта	2	2
