N	2gram	Vinokur_Ku_1	PoTuStor
1	может быть	13	17
2	и в	24	16
3	и пр	15	12
4	прежде всего	9	9
5	таким образом	12	9
6	в этом	14	9
7	и его	5	8
8	и с	5	8
9	точки зрения	14	8
10	не может	7	8
11	с его	4	7
12	не только	10	7
13	с точки	9	6
14	самом деле	9	6
15	при этом	6	6
16	конечно не	2	6
17	все эти	6	5
18	что такое	6	5
19	ни в	2	5
20	нуждается в	3	5
21	еще не	5	5
22	как бы	7	5
23	в нем	4	4
24	но и	6	4
25	так и	7	4
26	все это	6	4
27	хотя бы	10	4
28	и все	2	4
29	так как	9	4
30	и не	12	4
31	на самом	2	4
32	а потому	5	4
33	можно сказать	3	4
34	и даже	3	4
35	с ними	4	4
36	и на	4	4
37	в этой	3	4
38	и может	3	4
39	только в	11	4
40	но в	2	4
41	в его	12	4
42	и значение	2	3
43	в этих	4	3
44	что в	17	3
45	и есть	2	3
46	вместе с	7	3
47	сих пор	4	3
48	в большинстве	2	3
49	в одном	3	3
50	к себе	4	3
51	этом смысле	3	3
52	учение о	4	3
53	крайней мере	5	3
54	в том	30	3
55	а в	5	3
56	том что	21	3
57	и как	2	3
58	с их	3	3
59	то что	9	3
60	по крайней	5	3
61	в общем	3	3
62	если б	2	3
63	на язык	4	3
64	как это	3	3
65	в области	7	3
66	во всяком	5	3
67	и потому	4	3
68	до сих	4	3
69	между ними	2	3
70	всяком случае	5	3
71	не менее	7	2
72	ее в	2	2
73	с историей	2	2
74	может иметь	2	2
75	один из	4	2
76	не могут	2	2
77	что и	4	2
78	не есть	4	2
79	социального и	2	2
80	в частности	4	2
81	никогда не	2	2
82	что не	5	2
83	для этого	3	2
84	в них	7	2
85	если мы	2	2
86	того же	4	2
87	оно не	3	2
88	с этой	2	2
89	из этих	4	2
90	с этим	4	2
91	в свое	2	2
92	то же	8	2
93	что оно	3	2
94	только и	3	2
95	с помощью	7	2
96	сводится к	3	2
97	что он	6	2
98	в науке	4	2
99	и для	2	2
100	для нас	2	2
101	меньше всего	2	2
102	как и	2	2
103	они не	3	2
104	так же	4	2
105	есть в	4	2
106	не на	4	2
107	а на	2	2
108	он не	2	2
109	как с	2	2
110	между собою	2	2
111	в каком	2	2
112	что можно	2	2
113	в пределах	4	2
114	было бы	15	2
115	что это	5	2
116	и мы	2	2
117	но ведь	2	2
118	о том	9	2
119	в самом	10	2
120	в своей	2	2
121	с ним	5	2
