N	2gram	Medvedev_U_1	Literetu
1	а не	10	20
2	и в	14	19
3	может быть	6	17
4	то же	5	12
5	и не	8	11
6	в том	2	10
7	как и	3	10
8	но и	4	10
9	же время	3	9
10	не может	7	9
11	в этом	7	9
12	в то	3	9
13	с другой	4	8
14	не только	10	8
15	том что	2	7
16	то что	7	7
17	и т.д	3	7
18	в себе	2	6
19	для всех	2	5
20	конечном счете	4	5
21	у нас	3	5
22	но не	2	5
23	в конечном	4	5
24	в частности	3	4
25	прежде всего	8	4
26	не в	2	4
27	для него	3	4
28	в его	2	4
29	другой стороны	3	4
30	мы не	2	4
31	тем что	2	4
32	в искусстве	6	4
33	не случайно	2	4
34	в области	3	4
35	перестает быть	5	3
36	что он	2	3
37	по существу	2	3
38	одним из	2	3
39	но это	2	3
40	в этой	4	3
41	в противовес	2	3
42	в их	4	3
43	и для	2	3
44	этом отношении	2	3
45	и то	3	3
46	не столько	2	3
47	и с	2	3
48	ничего не	2	3
49	ни было	3	2
50	для этого	3	2
51	по крайней	2	2
52	в конце	2	2
53	крайней мере	2	2
54	очевидно что	3	2
55	художественного творчества	5	2
56	было бы	3	2
57	нам представляется	2	2
58	что и	2	2
59	все же	3	2
60	могут быть	2	2
61	как раз	2	2
62	и только	5	2
63	хотя бы	5	2
64	даже и	2	2
65	произведения искусства	3	2
66	в художественном	5	2
67	в россии	4	2
68	но в	3	2
