N	2gram	Savitsky_P_1	FransuaR
1	и в	14	40
2	прежде всего	3	16
3	в этом	10	15
4	не только	17	13
5	и не	12	13
6	в его	2	13
7	что в	4	12
8	но и	6	11
9	в них	2	9
10	может быть	5	9
11	в том	9	8
12	и с	2	8
13	но в	9	8
14	в своем	4	7
15	то же	9	7
16	же время	7	6
17	во всех	2	6
18	и других	2	6
19	в то	7	6
20	как раз	2	5
21	в нем	3	5
22	то что	4	5
23	начала и	2	5
24	не было	2	5
25	а не	2	5
26	xix века	6	4
27	том что	4	4
28	было бы	6	4
29	в ней	6	4
30	из них	2	4
31	и потому	4	4
32	а также	4	4
33	в мире	2	4
34	все это	2	4
35	еще более	2	4
36	и о	5	4
37	в области	11	4
38	в эту	2	4
39	том числе	2	3
40	если бы	4	3
41	в частности	2	3
42	и к	4	3
43	в ее	2	3
44	в начале	2	3
45	одна из	2	3
46	и есть	2	3
47	никак не	2	3
48	как бы	4	3
49	во всей	2	3
50	не может	4	3
51	а в	4	3
52	в значительной	2	3
53	для того	3	3
54	и как	3	3
55	между тем	3	3
56	в себе	3	3
57	только в	7	3
58	не менее	2	2
59	хотя бы	8	2
60	с другой	5	2
61	это не	3	2
62	и вот	2	2
63	но не	3	2
64	переход от	2	2
65	из важнейших	2	2
66	и если	4	2
67	например в	2	2
68	думать что	2	2
69	в котором	4	2
70	не к	2	2
71	именно в	2	2
72	потому что	3	2
73	с этим	2	2
74	точки зрения	3	2
75	по сравнению	2	2
76	и это	2	2
77	мы не	3	2
