N	3gram	Losev_Prob_3	EvropaiE
1	с точки зрения	2	16
2	в то же	4	15
3	в том что	9	6
4	этой точки зрения	2	5
5	то ни было	3	4
6	той или иной	8	4
7	и в этом	6	4
8	не только в	2	4
9	само по себе	3	4
10	того или иного	3	4
11	бы то ни	4	4
12	же как и	2	3
13	в той или	2	3
14	можно было бы	3	3
15	можно сказать что	2	3
16	во всяком случае	6	3
17	по сравнению с	2	2
18	в данном случае	7	2
19	друг от друга	2	2
20	с другой стороны	5	2
21	и только в	2	2
22	как мы видели	2	2
23	и в частности	2	2
24	заключается в том	3	2
25	не может быть	5	2
