N	3gram	Medvedev_V_1	DiskursI
1	в том что	5	13
2	с одной стороны	2	9
3	по отношению к	7	9
4	о том что	3	5
5	то же время	5	4
6	с другой стороны	8	3
7	не может быть	8	3
8	в то же	5	3
9	не в том	2	3
10	в том числе	2	2
11	можно сказать что	4	2
12	можно определить как	2	2
13	том числе и	2	2
14	только в том	2	2
15	по крайней мере	2	2
16	в том чтобы	2	2
17	в частности в	2	2
18	большей или меньшей	3	2
19	более или менее	6	2
20	не было в	2	2
21	не только в	2	2
22	подобно тому как	2	2
23	одной стороны и	2	2
