N	2gram	Tiupa_Narr_1	KulturaY
1	потому что	5	25
2	и в	11	23
3	не только	31	20
4	в том	8	19
5	в этом	12	18
6	и не	23	16
7	может быть	15	15
8	точки зрения	5	14
9	если бы	7	12
10	у нас	3	12
11	в самом	6	12
12	том что	7	11
13	того чтобы	4	11
14	в области	2	11
15	но в	7	11
16	что в	3	10
17	по себе	4	10
18	а не	13	10
19	в сущности	2	9
20	то что	9	9
21	самом деле	3	9
22	для того	3	9
23	хотя бы	2	9
24	не может	8	9
25	с другой	2	8
26	прежде всего	4	8
27	не в	6	8
28	в качестве	14	8
29	уже не	8	8
30	не менее	3	7
31	в нашем	3	7
32	все же	4	7
33	но и	27	7
34	другой стороны	2	7
35	и с	3	7
36	слова в	4	6
37	это не	3	6
38	да и	2	6
39	в этой	6	6
40	но не	4	6
41	что не	2	6
42	в речи	4	6
43	тем не	3	6
44	то же	8	6
45	слово это	2	6
46	между тем	3	6
47	и на	5	6
48	что мы	2	6
49	что он	3	5
50	об этом	6	5
51	еще не	4	5
52	в его	6	5
53	всяком случае	2	5
54	один из	6	5
55	и тем	4	5
56	вместе с	2	5
57	и вот	2	5
58	лишь в	3	5
59	как это	3	5
60	и то	3	5
61	во всяком	2	5
62	только в	12	5
63	зависимости от	2	5
64	также и	3	5
65	мы имеем	3	5
66	отнюдь не	2	4
67	в зависимости	2	4
68	перед нами	5	4
69	на то	2	4
70	можно сказать	5	4
71	к тому	6	4
72	что на	4	4
73	в пределах	2	4
74	своего рода	10	4
75	или в	6	4
76	хотя и	4	4
77	как бы	6	4
78	в нем	4	4
79	со стороны	8	4
80	в связи	2	4
81	не было	3	4
82	и о	3	4
83	не имеет	2	4
84	в данном	11	4
85	в результате	2	4
86	сказать что	2	4
87	в то	4	4
88	в конце	2	4
89	в особенности	2	4
90	ничего не	2	4
91	так и	5	4
92	казалось бы	2	3
93	у него	7	3
94	этого не	2	3
95	же время	4	3
96	а также	6	3
97	же в	2	3
98	в соответствии	5	3
99	большей или	2	3
100	до конца	2	3
101	связи с	2	3
102	меньшей степени	2	3
103	но для	3	3
104	никак не	2	3
105	в ней	4	3
106	он не	3	3
107	в сфере	2	3
108	как в	4	3
109	как раз	6	3
110	так в	4	3
111	в форме	2	3
112	этом отношении	3	3
113	именно в	3	3
114	как мы	2	3
115	сводится к	3	3
116	того что	4	3
117	а в	13	3
118	и его	10	3
119	слов в	2	3
120	здесь не	2	3
121	всего лишь	3	3
122	в частности	14	2
123	никогда не	4	2
124	состоит в	10	2
125	что у	4	2
126	оно не	2	2
127	и от	2	2
128	и все	3	2
129	быть не	3	2
130	одного из	6	2
131	не всегда	3	2
132	но зато	2	2
133	ли не	2	2
134	при отсутствии	2	2
135	свою очередь	2	2
136	а на	2	2
137	в свою	2	2
138	как будто	3	2
139	когда в	3	2
140	она не	2	2
141	при этом	19	2
142	может служить	3	2
143	что касается	2	2
144	за ними	3	2
145	он уже	2	2
146	в конечном	3	2
147	и даже	2	2
148	речь идет	3	2
149	к нему	4	2
150	в своей	5	2
151	в современной	3	2
152	дело не	2	2
153	данном случае	8	2
154	для обозначения	2	2
155	в своем	3	2
156	в отличие	2	2
157	и для	2	2
158	все равно	2	2
159	как и	13	2
160	в году	2	2
161	в той	2	2
162	тем самым	5	2
163	тем же	2	2
164	роль в	2	2
165	в глазах	3	2
166	с ними	2	2
167	однако и	4	2
168	не говорит	3	2
169	он и	2	2
170	соответствии с	4	2
171	и еще	2	2
172	как у	2	2
173	эта фраза	2	2
174	отличие от	2	2
